sample	producer	occurrence
MH0281	MB2bin39	1
MH0281	MB2bin158	1
MH0281	specI_v3_Cluster3341	1
MH0281	MB2bin23	1
MH0281	MB2bin174	1
MH0281	MB2bin114	1
MH0281	MB2bin12	1
MH0281	MB2bin119	1
MH0281	MB2bin52	1
MH0281	MB2bin146	1
MH0281	specI_v3_Cluster7314	1
MH0281	MB2bin3	1
MH0281	MGS00196	1
MH0281	MB2bin112	1
MH0281	MB2bin22	1
MH0281	MB2bin129	1
MH0281	MB2bin259	1
MH0281	MB2bin8	1
MH0281	specI_v3_Cluster7640	1
MH0281	MB2bin183	1
MH0281	specI_v3_Cluster7732	1
MH0281	MB2bin13	1
MH0281	MB2bin326	1
MH0281	specI_v3_Cluster3678	1
MH0281	MGS00060	1
MH0281	specI_v3_Cluster1595	1
MH0281	MB2bin122	1
MH0281	specI_v3_Cluster1597	1
MH0281	specI_v3_Cluster11800	1
MH0281	MB2bin207	1
MH0281	MB2bin75	1
MH0281	MGS00155	1
MH0281	MB2bin347	1
MH0281	specI_v3_Cluster2161	1
MH0281	MB2bin21	1
MH0281	MB2bin136	1
MH0281	MB2bin189	1
MH0281	MB2bin26	1
MH0281	MB2bin185	1
MH0281	specI_v3_Cluster2366	1
MH0281	MGS00010	1
MH0281	MB2bin222	1
MH0281	MB2bin76	1
MH0281	specI_v3_Cluster2159	1
MH0281	MB2bin106	1
MH0281	MB2bin159	1
MH0281	MB2bin93	1
MH0281	specI_v3_Cluster1576	1
MH0281	specI_v3_Cluster5237	1
MH0451	MB2bin6	1
MH0451	MB2bin39	1
MH0451	MB2bin127	1
MH0451	MB2bin146	1
MH0451	MB2bin75	1
MH0451	MB2bin187	1
MH0451	specI_v3_Cluster1577	1
MH0451	specI_v3_Cluster1595	1
MH0451	specI_v3_Cluster8185	1
MH0451	MB2bin78	1
MH0451	MB2bin26	1
MH0451	specI_v3_Cluster3638	1
MH0451	specI_v3_Cluster2159	1
MH0451	MB2bin3	1
MH0451	specI_v3_Cluster3475	1
MH0451	MB2bin189	1
MH0451	specI_v3_Cluster11800	1
MH0451	MB2bin8	1
MH0451	specI_v3_Cluster3622	1
MH0451	MB2bin125	1
MH0451	specI_v3_Cluster1576	1
MH0451	specI_v3_Cluster7640	1
MH0451	specI_v3_Cluster7314	1
MH0451	specI_v3_Cluster3678	1
MH0451	MB2bin180	1
MH0451	specI_v3_Cluster3639	1
MH0451	MB2bin158	1
MH0451	MGS00010	1
MH0451	specI_v3_Cluster2160	1
MH0451	MB2bin185	1
MH0451	MB2bin67	1
MH0451	MB2bin337	1
MH0451	MB2bin122	1
MH0451	MB2bin171	1
MH0451	MB2bin76	1
MH0451	MB2bin114	1
MH0451	MB2bin225	1
MH0451	specI_v3_Cluster3623	1
MH0451	MB2bin13	1
MH0451	MB2bin159	1
MH0451	specI_v3_Cluster1597	1
MH0451	specI_v3_Cluster3477	1
MH0451	specI_v3_Cluster3476	1
MH0451	specI_v3_Cluster3478	1
MH0451	MB2bin183	1
MH0451	MB2bin22	1
MH0451	MB2bin209	1
MH0451	specI_v3_Cluster10413	1
MH0451	specI_v3_Cluster2366	1
MH0451	MB2bin111	1
MH0451	MB2bin23	1
MH0451	MB2bin336	1
MH0451	MB2bin49	1
MH0451	MB2bin93	1
MH0451	specI_v3_Cluster11851	1
MH0451	MB2bin62	1
MH0451	MB2bin129	1
MH0451	MB2bin21	1
MH0451	MB2bin142	1
NG5636126	MB2bin6	1
NG5636126	MB2bin132	1
NG5636126	MB2bin4	1
NG5636126	MB2bin23	1
NG5636126	specI_v3_Cluster1595	1
NG5636126	MB2bin137	1
NG5636126	specI_v3_Cluster11800	1
NG5636126	MB2bin142	1
NG5636126	MB2bin26	1
NG5636126	MB2bin336	1
NG5636126	MB2bin158	1
NG5636126	MB2bin183	1
NG5636126	MB2bin8	1
NG5636126	MB2bin22	1
NG5636126	MB2bin75	1
NG5636126	MB2bin225	1
NG5636126	MB2bin85	1
NG5636126	specI_v3_Cluster3638	1
NG5636126	MB2bin125	1
NG5636126	specI_v3_Cluster7721	1
NG5636126	MB2bin185	1
NG5636126	MB2bin114	1
NG5636126	specI_v3_Cluster1576	1
NG5636126	MB2bin123	1
NG5636126	MB2bin94	1
NG5636126	MB2bin171	1
NG5636126	MGS00100	1
NG5636126	MB2bin52	1
NG5636126	MB2bin174	1
NG5636126	MB2bin3	1
NG5636126	MB2bin162	1
NG5636126	MB2bin93	1
NG5636126	MB2bin146	1
NG5636126	specI_v3_Cluster11851	1
NG5636126	MB2bin21	1
NG5636126	specI_v3_Cluster3639	1
NG5636126	MB2bin38	1
NG5636126	MB2bin13	1
NG5636126	MGS00057	1
NG5636126	MB2bin269	1
NG5636126	specI_v3_Cluster2366	1
MH0418	MB2bin6	1
MH0418	MB2bin132	1
MH0418	MB2bin39	1
MH0418	MB2bin76	1
MH0418	MGS00155	1
MH0418	MGS00010	1
MH0418	MB2bin207	1
MH0418	MB2bin3	1
MH0418	MB2bin93	1
MH0418	MB2bin69	1
MH0418	specI_v3_Cluster3476	1
MH0418	MB2bin22	1
MH0418	specI_v3_Cluster1577	1
MH0418	MB2bin12	1
MH0418	MB2bin85	1
MH0418	MGS00057	1
MH0418	specI_v3_Cluster1576	1
MH0418	specI_v3_Cluster3638	1
MH0418	MB2bin8	1
MH0418	MB2bin52	1
MH0418	MB2bin185	1
MH0418	MB2bin126	1
MH0418	MB2bin225	1
MH0418	MB2bin67	1
MH0418	MB2bin183	1
MH0418	specI_v3_Cluster10413	1
MH0418	MB2bin112	1
MH0418	MB2bin146	1
MH0418	specI_v3_Cluster7314	1
MH0418	specI_v3_Cluster1682	1
MH0418	MB2bin21	1
MH0418	MB2bin111	1
MH0418	MGS00051	1
MH0418	MB2bin38	1
MH0418	MB2bin159	1
MH0418	MB2bin142	1
MH0418	specI_v3_Cluster3475	1
MH0418	specI_v3_Cluster10408	1
MH0418	specI_v3_Cluster11800	1
MH0418	MB2bin114	1
MH0418	specI_v3_Cluster3622	1
MH0418	MB2bin23	1
MH0418	MB2bin4	1
MH0418	specI_v3_Cluster2161	1
MH0418	MB2bin26	1
MH0418	MB2bin94	1
MH0418	specI_v3_Cluster2366	1
MH0418	MB2bin158	1
MH0418	specI_v3_Cluster3478	1
MH0310	MB2bin6	1
MH0310	MB2bin39	1
MH0310	MB2bin3	1
MH0310	MB2bin69	1
MH0310	MGS00010	1
MH0310	MB2bin122	1
MH0310	MGS00196	1
MH0310	MB2bin22	1
MH0310	specI_v3_Cluster7640	1
MH0310	specI_v3_Cluster3341	1
MH0310	MB2bin94	1
MH0310	MB2bin146	1
MH0310	specI_v3_Cluster7726	1
MH0310	MB2bin129	1
MH0310	MB2bin114	1
MH0310	specI_v3_Cluster3622	1
MH0310	MB2bin21	1
MH0310	specI_v3_Cluster1576	1
MH0310	MB2bin52	1
MH0310	MB2bin183	1
MH0310	MB2bin26	1
MH0310	MB2bin13	1
MH0310	MB2bin159	1
MH0310	specI_v3_Cluster11800	1
MH0310	MB2bin23	1
MH0310	specI_v3_Cluster2366	1
MH0310	MB2bin75	1
MH0310	MB2bin111	1
MH0310	MB2bin106	1
MH0310	specI_v3_Cluster7721	1
MH0310	MB2bin8	1
MH0310	MB2bin158	1
MH0310	MB2bin76	1
MH0310	MB2bin93	1
MH0310	specI_v3_Cluster10408	1
MH0310	MB2bin12	1
MH0310	MB2bin185	1
NG5636497	MB2bin6	1
NG5636497	MB2bin132	1
NG5636497	MB2bin39	1
NG5636497	specI_v3_Cluster3478	1
NG5636497	MB2bin22	1
NG5636497	MB2bin257	1
NG5636497	MB2bin162	1
NG5636497	MB2bin158	1
NG5636497	MB2bin52	1
NG5636497	MB2bin185	1
NG5636497	MB2bin142	1
NG5636497	MB2bin337	1
NG5636497	specI_v3_Cluster7726	1
NG5636497	MGS00051	1
NG5636497	MB2bin146	1
NG5636497	MB2bin26	1
NG5636497	MB2bin214	1
NG5636497	MB2bin23	1
NG5636497	specI_v3_Cluster9171	1
NG5636497	MB2bin76	1
NG5636497	MB2bin190	1
NG5636497	MB2bin67	1
NG5636497	specI_v3_Cluster11851	1
NG5636497	MB2bin123	1
NG5636497	MB2bin3	1
NG5636497	MB2bin85	1
NG5636497	MB2bin75	1
NG5636497	specI_v3_Cluster3475	1
NG5636497	MB2bin4	1
NG5636497	MGS00127	1
NG5636497	MB2bin159	1
NG5636497	MGS00060	1
NG5636497	MGS00010	1
NG5636497	MB2bin94	1
NG5636497	specI_v3_Cluster3476	1
NG5636497	MGS00155	1
NG5636497	specI_v3_Cluster5402	1
NG5636497	specI_v3_Cluster3602	1
NG5636497	MB2bin21	1
NG5636497	specI_v3_Cluster7314	1
NG5636497	specI_v3_Cluster3477	1
NG5636497	MB2bin8	1
NG5636497	MB2bin62	1
NG5636497	specI_v3_Cluster3667	1
NG5636497	specI_v3_Cluster3699	1
NG5636497	MGS00100	1
NG5636497	MB2bin114	1
NG5636497	specI_v3_Cluster1576	1
NG5636497	MB2bin183	1
