sample	producer	occurrence
MH0281	Bacteroidota	14
MH0281	Firmicutes_A	28
MH0281	Firmicutes	4
MH0281	Proteobacteria	1
MH0281	Desulfobacterota_A	1
MH0281	Firmicutes_C	1
MH0451	Firmicutes_A	32
MH0451	Bacteroidota	18
MH0451	Firmicutes	7
MH0451	Proteobacteria	2
NG5636126	Firmicutes_A	26
NG5636126	Bacteroidota	11
NG5636126	Firmicutes	4
MH0418	Firmicutes_A	28
MH0418	Bacteroidota	19
MH0418	Firmicutes	1
MH0418	Proteobacteria	1
MH0310	Firmicutes_A	24
MH0310	Bacteroidota	9
MH0310	Proteobacteria	1
MH0310	Firmicutes	2
MH0310	Desulfobacterota_A	1
NG5636497	Firmicutes_A	35
NG5636497	Bacteroidota	21
NG5636497	Firmicutes	1
NG5636497	Firmicutes_C	1
MH0373	Verrucomicrobiota	2
MH0373	Firmicutes_A	20
MH0373	Bacteroidota	10
MH0373	Firmicutes	2
MH0252	Firmicutes_A	32
MH0252	Bacteroidota	17
MH0252	Firmicutes_C	1
MH0252	Firmicutes	5
MH0252	Proteobacteria	3
MH0252	Cyanobacteria	1
NG5636344	Verrucomicrobiota	1
NG5636344	Firmicutes_A	17
NG5636344	Bacteroidota	13
NG5636439	Verrucomicrobiota	1
NG5636439	Bacteroidota	7
NG5636439	Firmicutes_A	21
MH0387	Firmicutes_A	23
MH0387	Bacteroidota	13
MH0387	Desulfobacterota_A	1
MH0387	Proteobacteria	2
MH0387	Firmicutes_C	2
MH0387	Firmicutes	1
NG5636432	Firmicutes_A	31
NG5636432	Bacteroidota	13
NG5636432	Firmicutes	2
NG5636432	Desulfobacterota_A	1
MH0288	Verrucomicrobiota	1
MH0288	Firmicutes_A	32
MH0288	Bacteroidota	18
MH0288	Firmicutes	2
MH0288	Proteobacteria	3
MH0288	Cyanobacteria	1
MH0288	Firmicutes_C	1
MH0402	Firmicutes_A	32
MH0402	Bacteroidota	15
MH0402	Firmicutes	5
MH0402	Firmicutes_C	1
MH0402	Proteobacteria	1
MH0402	Verrucomicrobiota	1
NG5425550	Bacteroidota	10
NG5425550	Firmicutes_A	10
MH0183	Firmicutes_A	27
MH0183	Bacteroidota	15
MH0183	Firmicutes	4
MH0183	Firmicutes_C	2
MH0183	Cyanobacteria	1
NG5636628	Firmicutes_A	19
NG5636628	Bacteroidota	14
