sample	producer	occurrence
MH0399	Roseburia_hominis_A2_183	1
MH0399	Eubacterium_hallii_DSM_3353	1
MH0399	Eubacterium_limosum_KIST612	1
MH0399	Coprococcus_catus_GD_7	1
MH0399	Clostridium_difficile_R20291	1
MH0399	Odoribacter_splanchnicus_1651_6_DSM_20712	1
MH0399	Clostridium_difficile_NAP07	1
MH0399	Flavonifractor_plautii_ATCC_29863	1
MH0399	Anaerostipes_hadrus_DSM_3319	1
MH0399	Clostridium_difficile_NAP08	1
MH0399	Butyrivibrio_fibrisolvens_16_4	1
MH0399	Faecalibacterium_prausnitzii_M21_2	1
MH0399	Acidaminococcus_intestini_RyC_MR95	1
MH0399	Clostridium_sporogenes_ATCC_15579	1
MH0399	Faecalibacterium_prausnitzii_A2_165	1
MH0399	Porphyromonas_asaccharolytica_DSM_20707	1
MH0399	Clostridium_difficile_CD196	1
MH0399	Acidaminococcus_fermentans_DSM_20731	1
MH0399	Megasphaera_elsdenii_DSM_20460	1
MH0399	Porphyromonas_gingivalis_W83	1
MH0399	Eubacterium_hallii_L2_7	1
MH0399	Faecalibacterium_prausnitzii_SL3_3	1
MH0399	Roseburia_intestinalis_L1_82	1
MH0399	Eubacterium_cylindroides_T2_87	1
MH0399	Eubacterium_cellulosolvens_6	1
MH0399	Eubacterium_sulci_ATCC_35585	1
MH0399	Peptostreptococcus_anaerobius_DSM_2949	1
MH0399	Tannerella_forsythia_ATCC_43037	1
MH0399	Faecalibacterium_prausnitzii_L2_6	1
MH0399	Ruminococcus_torques_L2_14	1
MH0399	Bifidobacterium_adolescentis_ATCC_15703	1
MH0399	Blautia_obeum_ATCC_29174	1
MH0399	Streptococcus_cristatus_ATCC_51100	1
MH0399	Clostridium_bolteae_ATCC_BAA_613	1
MH0399	Streptococcus_anginosus_1_2_62CV	1
MH0399	Ruminococcus_obeum_A2_162	1
NG5636439	Finegoldia_magna_ATCC_29328	1
NG5636439	Faecalibacterium_prausnitzii_M21_2	1
NG5636439	Faecalibacterium_prausnitzii_SL3_3	1
NG5636439	Clostridium_sporogenes_ATCC_15579	1
NG5636439	Clostridium_difficile_CD196	1
NG5636439	Eubacterium_cellulosolvens_6	1
NG5636439	Eubacterium_hallii_DSM_3353	1
NG5636439	Anaerostipes_hadrus_DSM_3319	1
NG5636439	Flavonifractor_plautii_ATCC_29863	1
NG5636439	Faecalibacterium_prausnitzii_A2_165	1
NG5636439	Odoribacter_splanchnicus_1651_6_DSM_20712	1
NG5636439	Eubacterium_hallii_L2_7	1
NG5636439	Eubacterium_cylindroides_T2_87	1
NG5636439	Clostridium_difficile_R20291	1
NG5636439	Roseburia_intestinalis_L1_82	1
NG5636439	Peptostreptococcus_anaerobius_DSM_2949	1
NG5636439	Clostridium_difficile_NAP07	1
NG5636439	Roseburia_hominis_A2_183	1
NG5636439	Clostridium_difficile_NAP08	1
NG5636439	Faecalibacterium_prausnitzii_L2_6	1
NG5636439	Coprococcus_catus_GD_7	1
NG5636439	Ruminococcus_obeum_A2_162	1
NG5636439	Clostridium_bolteae_ATCC_BAA_613	1
NG5636439	Ruminococcus_torques_L2_14	1
NG5636439	Blautia_obeum_ATCC_29174	1
NG5636118	Escherichia_coli_O157_H7_str_Sakai	1
NG5636118	Roseburia_hominis_A2_183	1
NG5636118	Eubacterium_hallii_DSM_3353	1
NG5636118	Coprococcus_catus_GD_7	1
NG5636118	Shigella_dysenteriae_Sd197	1
NG5636118	Clostridium_difficile_R20291	1
NG5636118	Citrobacter_koseri_ATCC_BAA_895	1
NG5636118	Odoribacter_splanchnicus_1651_6_DSM_20712	1
NG5636118	Escherichia_coli_UTI89_UPEC	1
NG5636118	Clostridium_difficile_NAP07	1
NG5636118	Flavonifractor_plautii_ATCC_29863	1
NG5636118	Anaerostipes_hadrus_DSM_3319	1
NG5636118	Clostridium_difficile_NAP08	1
NG5636118	Butyrivibrio_fibrisolvens_16_4	1
NG5636118	Faecalibacterium_prausnitzii_M21_2	1
NG5636118	Clostridium_sporogenes_ATCC_15579	1
NG5636118	Faecalibacterium_prausnitzii_A2_165	1
NG5636118	Clostridium_difficile_CD196	1
NG5636118	Escherichia_fergusonii_ATCC_35469	1
NG5636118	Eubacterium_hallii_L2_7	1
NG5636118	Faecalibacterium_prausnitzii_SL3_3	1
NG5636118	Roseburia_intestinalis_L1_82	1
NG5636118	Escherichia_albertii_TW07627	1
NG5636118	Eubacterium_cylindroides_T2_87	1
NG5636118	Escherichia_albertii_KF1	1
NG5636118	Eubacterium_cellulosolvens_6	1
NG5636118	Eubacterium_sulci_ATCC_35585	1
NG5636118	Faecalibacterium_prausnitzii_L2_6	1
NG5636118	Bifidobacterium_adolescentis_ATCC_15703	1
