sample	producer	occurrence
MH0399	Firmicutes	31
MH0399	Bacteroidetes	4
MH0399	Actinobacteria	1
NG5636439	Firmicutes	24
NG5636439	Bacteroidetes	1
NG5636118	Proteobacteria	8
NG5636118	Firmicutes	25
NG5636118	Bacteroidetes	1
NG5636118	Actinobacteria	1
MH0430	Proteobacteria	7
MH0430	Firmicutes	35
MH0430	Bacteroidetes	4
MH0430	Actinobacteria	1
NG5425550	Proteobacteria	8
NG5425550	Firmicutes	20
NG5425550	Actinobacteria	1
MH0096	Firmicutes	33
MH0096	Bacteroidetes	1
MH0096	Spirochaetes	1
MH0096	Actinobacteria	1
MH0170	Firmicutes	17
MH0170	Bacteroidetes	1
MH0170	Actinobacteria	1
NG5636235	Firmicutes	19
NG5636235	Bacteroidetes	1
NG5636235	Proteobacteria	4
NG5636235	Actinobacteria	1
MH0167	Firmicutes	16
MH0167	Bacteroidetes	1
MH0167	Actinobacteria	1
MH0049	Firmicutes	14
MH0049	Bacteroidetes	1
NG5636378	Firmicutes	41
NG5636378	Bacteroidetes	3
NG5636378	Proteobacteria	2
NG5636378	Actinobacteria	1
MH0390	Fusobacteria	3
MH0390	Firmicutes	48
MH0390	Bacteroidetes	4
MH0390	Proteobacteria	3
MH0390	Actinobacteria	1
MH0378	Firmicutes	27
MH0378	Bacteroidetes	2
MH0378	Actinobacteria	1
MH0395	Firmicutes	26
MH0395	Bacteroidetes	2
MH0395	Actinobacteria	1
MH0433	Proteobacteria	9
MH0433	Firmicutes	35
MH0433	Bacteroidetes	4
MH0433	Actinobacteria	1
MH0346	Firmicutes	33
MH0346	Bacteroidetes	1
NG5636587	Firmicutes	35
NG5636587	Bacteroidetes	2
NG5636587	Actinobacteria	1
MH0343	Proteobacteria	11
MH0343	Firmicutes	24
MH0343	Bacteroidetes	1
MH0343	Actinobacteria	1
MH0375	Firmicutes	23
MH0375	Bacteroidetes	1
MH0375	Actinobacteria	1
NG5636577	Proteobacteria	6
NG5636577	Firmicutes	23
NG5636577	Bacteroidetes	1
NG5636577	Actinobacteria	1
NG5636397	Firmicutes	29
NG5636397	Bacteroidetes	1
NG5636397	Actinobacteria	1
NG5636422	Firmicutes	25
NG5636422	Bacteroidetes	1
NG5636422	Actinobacteria	1
NG5636269	Firmicutes	26
NG5636269	Bacteroidetes	1
NG5636269	Actinobacteria	1
MH0183	Firmicutes	19
MH0183	Bacteroidetes	1
MH0183	Actinobacteria	1
MH0281	Firmicutes	26
MH0281	Bacteroidetes	1
MH0281	Actinobacteria	1
MH0365	Fusobacteria	2
MH0365	Firmicutes	27
MH0365	Bacteroidetes	2
MH0365	Actinobacteria	1
MH0260	Fusobacteria	2
MH0260	Firmicutes	29
MH0260	Proteobacteria	1
MH0260	Bacteroidetes	3
MH0260	Actinobacteria	1
MH0335	Firmicutes	18
MH0335	Bacteroidetes	1
MH0335	Proteobacteria	2
NG5636344	Firmicutes	19
NG5636344	Bacteroidetes	1
MH0310	Firmicutes	24
MH0310	Bacteroidetes	1
MH0310	Proteobacteria	4
NG563658	Proteobacteria	5
NG563658	Firmicutes	25
NG563658	Bacteroidetes	2
NG563658	Actinobacteria	1
MH0299	Firmicutes	17
MH0299	Bacteroidetes	1
MH0299	Actinobacteria	1
NG5636655	Firmicutes	17
NG5636655	Bacteroidetes	1
NG5636655	Actinobacteria	1
MH0289	Firmicutes	22
MH0289	Bacteroidetes	1
MH0289	Actinobacteria	1
MH0377	Firmicutes	34
MH0377	Bacteroidetes	3
MH0377	Proteobacteria	2
MH0222	Proteobacteria	11
MH0222	Fusobacteria	3
MH0222	Firmicutes	42
MH0222	Bacteroidetes	4
MH0222	Actinobacteria	1
NG5636551	Firmicutes	30
NG5636551	Bacteroidetes	1
NG5636551	Proteobacteria	4
NG5636551	Actinobacteria	1
MH0374	Firmicutes	44
MH0374	Proteobacteria	9
MH0374	Bacteroidetes	4
MH0374	Actinobacteria	1
NG5636350	Firmicutes	28
NG5636350	Bacteroidetes	1
NG5636350	Actinobacteria	1
NG5636484	Proteobacteria	5
NG5636484	Firmicutes	26
NG5636484	Bacteroidetes	2
NG5636146	Proteobacteria	8
NG5636146	Firmicutes	29
NG5636146	Bacteroidetes	1
NG5636146	Actinobacteria	1
MH0264	Proteobacteria	10
MH0264	Firmicutes	27
MH0264	Bacteroidetes	4
MH0264	Actinobacteria	1
NG5636558	Firmicutes	29
NG5636558	Proteobacteria	5
NG5636558	Bacteroidetes	2
NG5636558	Actinobacteria	1
NG5636524	Proteobacteria	3
NG5636524	Firmicutes	26
NG5636524	Bacteroidetes	2
NG5636524	Actinobacteria	1
MH0354	Firmicutes	22
MH0354	Proteobacteria	8
MH0354	Bacteroidetes	2
MH0354	Actinobacteria	1
MH0393	Firmicutes	18
MH0393	Bacteroidetes	1
MH0393	Actinobacteria	1
NG563654	Firmicutes	28
NG563654	Bacteroidetes	1
NG563654	Actinobacteria	1
MH0077	Firmicutes	24
MH0077	Bacteroidetes	1
MH0077	Actinobacteria	1
MH0396	Proteobacteria	6
MH0396	Firmicutes	32
MH0396	Fusobacteria	7
MH0396	Bacteroidetes	2
MH0349	Firmicutes	26
MH0349	Bacteroidetes	1
MH0349	Spirochaetes	1
MH0349	Actinobacteria	1
NG5636384	Firmicutes	24
NG5636384	Bacteroidetes	2
NG5636384	Actinobacteria	1
MH0328	Proteobacteria	7
MH0328	Firmicutes	27
MH0328	Bacteroidetes	2
MH0328	Actinobacteria	1
MH0276	Firmicutes	45
MH0276	Bacteroidetes	4
MH0276	Actinobacteria	1
NG5636349	Firmicutes	25
NG5636349	Bacteroidetes	1
NG5636349	Actinobacteria	1
MH0451	Fusobacteria	2
MH0451	Firmicutes	34
MH0451	Bacteroidetes	2
MH0451	Actinobacteria	1
MH0114	Firmicutes	16
MH0114	Bacteroidetes	1
MH0114	Actinobacteria	1
NG5636244	Proteobacteria	9
NG5636244	Firmicutes	25
NG5636244	Bacteroidetes	1
NG5636244	Actinobacteria	1
MH0129	Firmicutes	16
MH0129	Bacteroidetes	1
MH0129	Actinobacteria	1
NG563660	Firmicutes	26
NG563660	Bacteroidetes	2
NG563660	Actinobacteria	1
NG5636646	Firmicutes	16
NG5636646	Bacteroidetes	1
NG5636334	Firmicutes	23
NG5636334	Bacteroidetes	1
NG5636334	Actinobacteria	1
MH0067	Firmicutes	16
MH0067	Bacteroidetes	1
MH0327	Firmicutes	17
MH0327	Bacteroidetes	1
MH0191	Firmicutes	19
MH0191	Bacteroidetes	1
MH0191	Actinobacteria	1
MH0132	Firmicutes	29
MH0132	Bacteroidetes	1
MH0132	Spirochaetes	1
MH0132	Actinobacteria	1
MH0016	Firmicutes	17
MH0016	Bacteroidetes	1
NG5636126	Firmicutes	30
NG5636126	Bacteroidetes	1
NG5636126	Actinobacteria	1
NG5636332	Firmicutes	34
NG5636332	Bacteroidetes	1
NG5636332	Proteobacteria	1
NG5636332	Actinobacteria	1
NG5636372	Firmicutes	20
NG5636372	Bacteroidetes	1
NG5636372	Proteobacteria	1
NG5636372	Actinobacteria	1
MH0339	Proteobacteria	6
MH0339	Firmicutes	35
MH0339	Bacteroidetes	2
MH0339	Actinobacteria	1
MH0088	Fusobacteria	1
MH0088	Firmicutes	23
MH0088	Bacteroidetes	1
MH0088	Proteobacteria	1
MH0088	Actinobacteria	1
NG5636436	Firmicutes	34
NG5636436	Bacteroidetes	4
NG5636436	Actinobacteria	1
MH0416	Firmicutes	25
MH0416	Bacteroidetes	1
MH0416	Actinobacteria	1
NG5636432	Firmicutes	19
NG5636432	Bacteroidetes	1
NG5636432	Actinobacteria	1
MH0288	Fusobacteria	2
MH0288	Firmicutes	29
MH0288	Bacteroidetes	2
MH0288	Actinobacteria	1
MH0314	Firmicutes	17
MH0314	Bacteroidetes	1
MH0314	Actinobacteria	1
MH0347	Proteobacteria	5
MH0347	Firmicutes	17
MH0347	Bacteroidetes	1
MH0347	Actinobacteria	1
MH0366	Firmicutes	30
MH0366	Bacteroidetes	1
MH0366	Actinobacteria	1
MH0119	Firmicutes	17
MH0119	Bacteroidetes	1
MH0119	Actinobacteria	1
NG5636483	Firmicutes	27
NG5636483	Bacteroidetes	1
MH0385	Firmicutes	46
MH0385	Fusobacteria	3
MH0385	Proteobacteria	8
MH0385	Bacteroidetes	4
MH0385	Actinobacteria	1
MH0064	Firmicutes	17
MH0064	Bacteroidetes	1
MH0064	Actinobacteria	1
MH0364	Firmicutes	28
MH0364	Bacteroidetes	3
MH0364	Proteobacteria	1
MH0364	Actinobacteria	1
MH0404	Fusobacteria	2
MH0404	Firmicutes	24
MH0404	Bacteroidetes	2
MH0261	Firmicutes	18
MH0261	Bacteroidetes	1
MH0261	Actinobacteria	1
MH0212	Firmicutes	18
MH0212	Bacteroidetes	1
MH0212	Actinobacteria	1
MH0086	Firmicutes	17
MH0086	Bacteroidetes	1
MH0086	Proteobacteria	1
MH0086	Actinobacteria	1
NG5425485	Firmicutes	18
NG5425485	Bacteroidetes	1
NG5425485	Actinobacteria	1
NG5636434	Firmicutes	27
NG5636434	Bacteroidetes	1
NG5636434	Actinobacteria	1
MH0402	Firmicutes	47
MH0402	Fusobacteria	4
MH0402	Proteobacteria	10
MH0402	Bacteroidetes	4
MH0402	Actinobacteria	1
NG5636288	Firmicutes	18
NG5636288	Bacteroidetes	1
MH0309	Proteobacteria	8
MH0309	Firmicutes	31
MH0309	Bacteroidetes	3
MH0309	Actinobacteria	1
MH0311	Firmicutes	17
MH0311	Bacteroidetes	1
MH0311	Actinobacteria	1
NG5636421	Firmicutes	30
NG5636421	Bacteroidetes	1
NG5636421	Actinobacteria	1
MH0037	Firmicutes	17
MH0037	Bacteroidetes	1
MH0037	Actinobacteria	1
MH0334	Firmicutes	18
MH0334	Bacteroidetes	1
MH0334	Actinobacteria	1
MH0177	Firmicutes	16
MH0177	Bacteroidetes	1
MH0177	Actinobacteria	1
MH0038	Firmicutes	17
MH0038	Bacteroidetes	1
MH0057	Firmicutes	17
MH0057	Bacteroidetes	1
MH0372	Proteobacteria	8
MH0372	Firmicutes	26
MH0372	Bacteroidetes	1
MH0372	Actinobacteria	1
MH0252	Firmicutes	45
MH0252	Fusobacteria	2
MH0252	Proteobacteria	8
MH0252	Bacteroidetes	4
MH0252	Actinobacteria	1
MH0388	Firmicutes	24
MH0388	Bacteroidetes	1
MH0388	Proteobacteria	5
MH0388	Actinobacteria	1
MH0358	Firmicutes	22
MH0358	Bacteroidetes	2
MH0371	Firmicutes	33
MH0371	Bacteroidetes	2
MH0386	Firmicutes	27
MH0386	Bacteroidetes	1
MH0386	Spirochaetes	1
MH0386	Actinobacteria	1
NG5636628	Firmicutes	24
NG5636628	Bacteroidetes	1
NG5636628	Actinobacteria	1
NG5636380	Firmicutes	25
NG5636380	Bacteroidetes	1
NG5636380	Actinobacteria	1
MH0082	Firmicutes	18
MH0082	Bacteroidetes	1
MH0082	Actinobacteria	1
NG5636278	Fusobacteria	2
NG5636278	Firmicutes	34
NG5636278	Bacteroidetes	3
NG5636278	Proteobacteria	5
NG5636278	Actinobacteria	1
MH0308	Firmicutes	30
MH0308	Proteobacteria	10
MH0308	Bacteroidetes	3
MH0373	Firmicutes	48
MH0373	Bacteroidetes	4
MH0373	Actinobacteria	1
NG5636552	Firmicutes	25
NG5636552	Bacteroidetes	1
NG5636552	Actinobacteria	1
MH0389	Proteobacteria	5
MH0389	Firmicutes	33
MH0389	Bacteroidetes	4
MH0047	Firmicutes	15
MH0047	Bacteroidetes	1
MH0047	Actinobacteria	1
MH0323	Proteobacteria	4
MH0323	Firmicutes	21
MH0323	Bacteroidetes	1
MH0323	Actinobacteria	1
MH0384	Firmicutes	33
MH0384	Bacteroidetes	3
MH0384	Proteobacteria	3
MH0384	Actinobacteria	1
MH0197	Firmicutes	35
MH0197	Bacteroidetes	3
MH0197	Actinobacteria	1
MH0329	Firmicutes	45
MH0329	Fusobacteria	3
MH0329	Bacteroidetes	4
MH0329	Actinobacteria	1
NG5636312	Firmicutes	39
NG5636312	Proteobacteria	5
NG5636312	Bacteroidetes	2
NG5636312	Actinobacteria	1
NG5636536	Proteobacteria	6
NG5636536	Firmicutes	20
NG5636536	Bacteroidetes	1
NG5636536	Actinobacteria	1
MH0359	Firmicutes	23
MH0359	Proteobacteria	6
MH0359	Bacteroidetes	1
MH0359	Actinobacteria	1
MH0298	Proteobacteria	10
MH0298	Firmicutes	30
MH0298	Bacteroidetes	3
MH0298	Actinobacteria	1
MH0286	Firmicutes	27
MH0286	Bacteroidetes	2
MH0286	Actinobacteria	1
MH0283	Firmicutes	20
MH0283	Bacteroidetes	1
MH0283	Actinobacteria	1
MH0361	Firmicutes	19
MH0361	Bacteroidetes	1
MH0361	Actinobacteria	1
NG5636497	Firmicutes	32
NG5636497	Bacteroidetes	2
NG5636497	Actinobacteria	1
MH0087	Firmicutes	13
MH0087	Bacteroidetes	1
MH0391	Firmicutes	28
MH0391	Proteobacteria	7
MH0391	Bacteroidetes	2
MH0391	Actinobacteria	1
NG5636604	Proteobacteria	7
NG5636604	Firmicutes	23
MH0149	Firmicutes	24
MH0149	Bacteroidetes	1
NG5636462	Firmicutes	47
NG5636462	Bacteroidetes	4
NG5636462	Proteobacteria	4
NG5636462	Actinobacteria	1
MH0206	Proteobacteria	6
MH0206	Firmicutes	34
MH0206	Bacteroidetes	3
MH0206	Actinobacteria	1
NG5425286	Firmicutes	17
NG5425286	Bacteroidetes	1
NG5425286	Actinobacteria	1
MH0229	Firmicutes	47
MH0229	Fusobacteria	3
MH0229	Proteobacteria	8
MH0229	Bacteroidetes	4
MH0271	Firmicutes	18
MH0271	Bacteroidetes	1
MH0227	Firmicutes	20
MH0227	Bacteroidetes	1
MH0227	Actinobacteria	1
MH0073	Fusobacteria	2
MH0073	Firmicutes	16
MH0073	Bacteroidetes	1
MH0073	Actinobacteria	1
MH0355	Firmicutes	46
MH0355	Fusobacteria	1
MH0355	Bacteroidetes	4
MH0355	Actinobacteria	1
MH0169	Firmicutes	17
MH0169	Bacteroidetes	1
MH0169	Actinobacteria	1
MH0362	Firmicutes	25
MH0362	Bacteroidetes	1
MH0362	Actinobacteria	1
MH0442	Firmicutes	31
MH0442	Bacteroidetes	4
MH0442	Actinobacteria	1
NG5636458	Firmicutes	36
NG5636458	Bacteroidetes	3
NG5636458	Spirochaetes	1
NG5636458	Actinobacteria	1
MH0410	Firmicutes	24
MH0410	Bacteroidetes	1
MH0410	Actinobacteria	1
MH0429	Firmicutes	27
MH0429	Bacteroidetes	2
MH0429	Actinobacteria	1
MH0234	Firmicutes	21
MH0234	Proteobacteria	5
MH0234	Bacteroidetes	1
MH0234	Actinobacteria	1
MH0266	Proteobacteria	8
MH0266	Firmicutes	19
MH0266	Bacteroidetes	1
MH0266	Actinobacteria	1
MH0444	Proteobacteria	4
MH0444	Firmicutes	17
MH0444	Bacteroidetes	1
MH0444	Actinobacteria	1
MH0101	Firmicutes	17
MH0101	Bacteroidetes	1
MH0253	Fusobacteria	2
MH0253	Firmicutes	29
MH0253	Bacteroidetes	4
MH0253	Actinobacteria	1
MH0155	Firmicutes	17
MH0155	Bacteroidetes	1
MH0155	Actinobacteria	1
MH0408	Firmicutes	36
MH0408	Bacteroidetes	4
MH0408	Proteobacteria	3
MH0408	Actinobacteria	1
NG5636472	Firmicutes	28
NG5636472	Actinobacteria	1
MH0065	Firmicutes	29
MH0065	Bacteroidetes	1
MH0065	Actinobacteria	1
MH0418	Firmicutes	26
MH0418	Bacteroidetes	3
MH0418	Actinobacteria	1
MH0414	Firmicutes	21
MH0414	Bacteroidetes	1
MH0414	Proteobacteria	1
MH0414	Actinobacteria	1
MH0302	Firmicutes	28
MH0302	Proteobacteria	9
MH0302	Bacteroidetes	2
MH0109	Firmicutes	17
MH0109	Actinobacteria	1
MH0058	Firmicutes	17
MH0058	Bacteroidetes	1
MH0259	Firmicutes	30
MH0259	Bacteroidetes	2
MH0259	Spirochaetes	1
MH0259	Actinobacteria	1
MH0238	Firmicutes	27
MH0238	Proteobacteria	9
MH0238	Bacteroidetes	4
MH0238	Actinobacteria	1
MH0387	Firmicutes	17
MH0387	Bacteroidetes	1
MH0387	Actinobacteria	1
MH0035	Firmicutes	17
MH0035	Bacteroidetes	1
MH0035	Actinobacteria	1
MH0397	Proteobacteria	9
MH0397	Firmicutes	30
MH0397	Bacteroidetes	3
MH0397	Actinobacteria	1
NG5636495	Firmicutes	31
NG5636495	Bacteroidetes	2
NG5636495	Actinobacteria	1
MH0382	Proteobacteria	9
MH0382	Firmicutes	23
MH0382	Bacteroidetes	1
MH0382	Actinobacteria	1
MH0383	Proteobacteria	9
MH0383	Firmicutes	25
MH0383	Bacteroidetes	2
MH0383	Actinobacteria	1
MH0128	Firmicutes	16
MH0128	Bacteroidetes	1
MH0128	Actinobacteria	1
NG5636479	Firmicutes	34
NG5636479	Bacteroidetes	2
NG5636479	Actinobacteria	1
NG5636225	Firmicutes	20
NG5636225	Bacteroidetes	1
NG5636225	Actinobacteria	1
MH0381	Firmicutes	18
MH0381	Bacteroidetes	1
MH0381	Actinobacteria	1
MH0120	Firmicutes	26
MH0120	Bacteroidetes	2
MH0120	Actinobacteria	1
NG563692	Proteobacteria	8
NG563692	Firmicutes	25
NG563692	Bacteroidetes	1
MH0161	Firmicutes	18
MH0161	Bacteroidetes	1
MH0161	Actinobacteria	1
NG5636224	Proteobacteria	8
NG5636224	Firmicutes	28
NG5636224	Bacteroidetes	2
NG5636224	Actinobacteria	1
MH0369	Firmicutes	33
MH0369	Proteobacteria	2
MH0369	Bacteroidetes	2
MH0369	Actinobacteria	1
MH0135	Firmicutes	17
MH0135	Bacteroidetes	1
MH0135	Actinobacteria	1
NG5636304	Firmicutes	21
NG5636304	Bacteroidetes	2
NG5636304	Actinobacteria	1
NG5636457	Firmicutes	20
NG5636457	Bacteroidetes	1
NG5636457	Actinobacteria	1
MH0084	Firmicutes	18
MH0084	Bacteroidetes	1
MH0084	Actinobacteria	1
MH0436	Firmicutes	28
MH0436	Bacteroidetes	3
MH0436	Actinobacteria	1
MH0368	Firmicutes	27
MH0368	Bacteroidetes	1
MH0368	Actinobacteria	1
MH0054	Proteobacteria	8
MH0054	Firmicutes	22
MH0054	Bacteroidetes	1
MH0054	Actinobacteria	1
MH0376	Firmicutes	18
MH0376	Bacteroidetes	2
NG5636121	Firmicutes	24
NG5636121	Bacteroidetes	1
NG5636121	Actinobacteria	1
NG5636158	Firmicutes	21
NG5636158	Bacteroidetes	2
NG5636158	Actinobacteria	1
MH0421	Fusobacteria	2
MH0421	Firmicutes	36
MH0421	Proteobacteria	8
MH0421	Bacteroidetes	4
MH0421	Actinobacteria	1
