sample	expe	category	phylum	occurrence
MH0016	fulltargets_com	AS	Bacteroidota	2
MH0016	fulltargets_com	AS	Firmicutes_A	7
MH0016	fulltargets_com	AS	Firmicutes_C	1
MH0016	fulltargets_com	AS	Proteobacteria	1
MH0016	fulltargets_com	ES	Bacteroidota	11
MH0016	fulltargets_com	ES	Firmicutes_A	10
MH0016	fulltargets_com	ES	Proteobacteria	2
MH0016	fulltargets_com	KS	Bacteroidota	13
MH0016	fulltargets_com	KS	Firmicutes_A	17
MH0016	fulltargets_com	KS	Firmicutes_C	1
MH0016	fulltargets_com	KS	Proteobacteria	3
MH0016	addedvalue_com	AS	Bacteroidota	2
MH0016	addedvalue_com	AS	Firmicutes_A	6
MH0016	addedvalue_com	AS	Firmicutes_C	1
MH0016	addedvalue_com	ES	Bacteroidota	9
MH0016	addedvalue_com	ES	Firmicutes_A	5
MH0016	addedvalue_com	ES	Proteobacteria	2
MH0016	addedvalue_com	KS	Bacteroidota	11
MH0016	addedvalue_com	KS	Firmicutes_A	11
MH0016	addedvalue_com	KS	Firmicutes_C	1
MH0016	addedvalue_com	KS	Proteobacteria	2
MH0035	fulltargets_com	ES	Bacteroidota	3
MH0035	fulltargets_com	ES	Firmicutes	3
MH0035	fulltargets_com	ES	Firmicutes_A	5
MH0035	fulltargets_com	KS	Bacteroidota	3
MH0035	fulltargets_com	KS	Firmicutes	3
MH0035	fulltargets_com	KS	Firmicutes_A	5
MH0035	addedvalue_com	ES	Bacteroidota	3
MH0035	addedvalue_com	ES	Firmicutes	3
MH0035	addedvalue_com	ES	Firmicutes_A	3
MH0035	addedvalue_com	KS	Bacteroidota	3
MH0035	addedvalue_com	KS	Firmicutes	3
MH0035	addedvalue_com	KS	Firmicutes_A	3
MH0047	fulltargets_com	ES	Bacteroidota	2
MH0047	fulltargets_com	ES	Firmicutes	1
MH0047	fulltargets_com	ES	Firmicutes_A	5
MH0047	fulltargets_com	ES	Firmicutes_C	1
MH0047	fulltargets_com	ES	Proteobacteria	1
MH0047	fulltargets_com	KS	Bacteroidota	2
MH0047	fulltargets_com	KS	Firmicutes	1
MH0047	fulltargets_com	KS	Firmicutes_A	5
MH0047	fulltargets_com	KS	Firmicutes_C	1
MH0047	fulltargets_com	KS	Proteobacteria	1
MH0047	addedvalue_com	ES	Bacteroidota	2
MH0047	addedvalue_com	ES	Firmicutes	1
MH0047	addedvalue_com	ES	Firmicutes_A	3
MH0047	addedvalue_com	ES	Firmicutes_C	1
MH0047	addedvalue_com	KS	Bacteroidota	2
MH0047	addedvalue_com	KS	Firmicutes	1
MH0047	addedvalue_com	KS	Firmicutes_A	3
MH0047	addedvalue_com	KS	Firmicutes_C	1
MH0049	fulltargets_com	ES	Bacteroidota	12
MH0049	fulltargets_com	ES	Firmicutes_A	10
MH0049	fulltargets_com	ES	Firmicutes_C	1
MH0049	fulltargets_com	KS	Bacteroidota	12
MH0049	fulltargets_com	KS	Firmicutes_A	10
MH0049	fulltargets_com	KS	Firmicutes_C	1
MH0049	addedvalue_com	AS	Bacteroidota	3
MH0049	addedvalue_com	AS	Firmicutes_A	1
MH0049	addedvalue_com	AS	Firmicutes_C	1
MH0049	addedvalue_com	ES	Bacteroidota	9
MH0049	addedvalue_com	ES	Firmicutes_A	6
MH0049	addedvalue_com	KS	Bacteroidota	12
MH0049	addedvalue_com	KS	Firmicutes_A	7
MH0049	addedvalue_com	KS	Firmicutes_C	1
MH0054	fulltargets_com	ES	Bacteroidota	6
MH0054	fulltargets_com	ES	Firmicutes	3
MH0054	fulltargets_com	ES	Firmicutes_A	2
MH0054	fulltargets_com	KS	Bacteroidota	6
MH0054	fulltargets_com	KS	Firmicutes	3
MH0054	fulltargets_com	KS	Firmicutes_A	2
MH0054	addedvalue_com	ES	Bacteroidota	6
MH0054	addedvalue_com	ES	Firmicutes	2
MH0054	addedvalue_com	ES	Firmicutes_A	2
MH0054	addedvalue_com	KS	Bacteroidota	6
MH0054	addedvalue_com	KS	Firmicutes	2
MH0054	addedvalue_com	KS	Firmicutes_A	2
MH0057	fulltargets_com	ES	Bacteroidota	5
MH0057	fulltargets_com	ES	Firmicutes_A	1
MH0057	fulltargets_com	KS	Bacteroidota	5
MH0057	fulltargets_com	KS	Firmicutes_A	1
MH0057	addedvalue_com	ES	Bacteroidota	5
MH0057	addedvalue_com	ES	Firmicutes_A	1
MH0057	addedvalue_com	KS	Bacteroidota	5
MH0057	addedvalue_com	KS	Firmicutes_A	1
