sample	community_size	ks	es	as
MH0016	43	25	16	9
MH0035	12	9	9	0
MH0047	10	7	7	0
MH0049	35	20	15	5
MH0054	13	10	10	0
MH0057	7	6	6	0
MH0064	2	2	2	0
MH0065	1			
MH0067	3	3	3	0
MH0073	7	7	7	0
MH0077	11	9	9	0
MH0082	2	2	2	0
MH0086	64	30	22	8
MH0087	38	26	20	6
MH0088	76	39	21	18
MH0096	74	33	21	12
MH0101	45	23	12	11
MH0109	61	32	13	19
MH0114	52	23	21	2
MH0119	104	41	25	16
MH0120	83	35	19	16
MH0128	65	25	21	4
MH0129	87	35	17	18
MH0132	92	34	20	14
MH0135	87	36	18	18
MH0149	74	30	16	14
MH0155	70	30	19	11
MH0161	124	46	25	21
MH0167	62	20	16	4
MH0169	65	32	19	13
MH0170	93	34	17	17
MH0177	78	36	19	17
MH0183	138	52	22	30
MH0191	129	47	18	29
MH0197	123	50	25	25
MH0206	144	45	19	26
MH0212	103	29	19	10
MH0222	140	47	21	26
MH0227	97	39	26	13
MH0229	137	49	33	16
MH0234	133	45	19	26
MH0238	124	45	22	23
MH0252	163	64	19	45
MH0253	142	49	24	25
MH0259	138	35	20	15
MH0260	143	48	24	24
MH0261	83	24	21	3
MH0264	94	31	21	10
MH0266	107	46	19	27
MH0271	119	37	26	11
MH0276	154	70	17	53
MH0281	118	43	13	30
MH0283	84	39	20	19
MH0286	128	29	25	4
MH0288	136	46	22	24
MH0289	110	36	28	8
MH0298	134	57	28	29
MH0299	83	31	19	12
MH0302	81	33	19	14
MH0308	134	53	21	32
MH0309	126	44	26	18
MH0310	106	44	20	24
MH0311	95	37	22	15
MH0314	119	41	23	18
MH0323	128	47	20	27
MH0327	84	33	20	13
MH0328	126	54	23	31
MH0329	145	38	23	15
MH0334	118	52	21	31
MH0335	86	29	19	10
MH0339	131	46	19	27
MH0343	123	52	17	35
MH0346	120	45	22	23
MH0347	103	50	23	27
MH0349	127	47	31	16
MH0354	106	38	19	19
MH0355	161	47	24	23
MH0358	84	40	12	28
MH0359	116	36	16	20
MH0361	106	45	23	22
MH0362	130	34	26	8
MH0364	139	46	23	23
MH0365	142	63	27	36
MH0366	107	49	17	32
MH0368	118	41	28	13
MH0369	122	57	16	41
MH0371	144	46	27	19
MH0372	88	37	25	12
MH0373	106	46	15	31
MH0374	135	38	25	13
MH0375	93	27	19	8
MH0376	140	42	24	18
MH0377	138	39	28	11
MH0378	121	60	22	38
MH0381	128	49	17	32
MH0382	117	38	19	19
MH0383	109	51	30	21
MH0384	120	46	15	31
MH0385	148	32	20	12
MH0386	140	42	22	20
MH0387	92	36	20	16
MH0388	112	45	23	22
MH0389	123	53	20	33
MH0390	142	43	21	22
MH0391	130	56	19	37
MH0393	100	37	26	11
MH0395	139	32	20	12
MH0396	117	35	22	13
MH0397	124	39	26	13
MH0399	155	65	21	44
MH0402	152	38	26	12
MH0404	113	46	21	25
MH0408	160	37	27	10
MH0410	102	34	22	12
MH0414	88	52	18	34
MH0416	142	52	23	29
MH0418	133	45	24	21
MH0421	144	37	24	13
MH0429	132	63	24	39
MH0430	143	67	22	45
MH0433	128	42	21	21
MH0436	140	51	16	35
MH0442	166	50	28	22
MH0444	69	41	15	26
MH0451	159	31	21	10
NG5425286	43	20	15	5
NG5425485	40	24	16	8
NG5425550	45	28	19	9
NG5636118	117	56	14	42
NG5636121	110	44	21	23
NG5636126	122	47	30	17
NG5636146	97	37	23	14
NG5636158	108	46	18	28
NG5636224	103	28	24	4
NG5636225	86	45	21	24
NG5636235	70	35	17	18
NG5636244	79	44	24	20
NG5636269	80	28	22	6
NG5636278	128	44	21	23
NG5636288	67	37	18	19
NG5636304	73	30	19	11
NG5636312	151	46	27	19
NG5636332	84	35	24	11
NG5636334	59	25	17	8
NG5636344	75	32	23	9
NG5636349	93	41	22	19
NG5636350	96	40	16	24
NG5636372	76	33	16	17
NG5636378	128	43	21	22
NG5636380	76	29	19	10
NG5636384	91	35	22	13
NG5636397	67	37	21	16
NG5636421	102	33	20	13
NG5636422	148	49	27	22
NG5636432	109	54	19	35
NG5636434	97	45	23	22
NG5636436	123	55	23	32
NG5636439	79	31	19	12
NG5636457	124	44	29	15
NG5636458	142	58	21	37
NG5636462	138	44	19	25
NG5636472	89	45	21	24
NG5636479	109	47	26	21
NG5636483	113	36	25	11
NG5636484	115	39	30	9
NG5636495	135	57	27	30
NG5636497	146	48	30	18
NG5636524	117	48	21	27
NG5636536	77	32	20	12
NG563654	108	39	27	12
NG5636551	118	53	23	30
NG5636552	99	42	24	18
NG5636558	111	37	22	15
NG5636577	91	41	26	15
NG563658	94	33	22	11
NG5636587	97	41	26	15
NG563660	122	42	22	20
NG5636604	51	26	17	9
NG5636628	92	42	27	15
NG5636646	50	22	18	4
NG5636655	66	38	15	23
NG563692	67	27	25	2
