species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
MB2bin308	1373	1063	1324	1603	191
MB2bin264	1409	1106	1917	1583	212
MB2bin352	1593	1286	2166	1804	201
MB2bin286	1760	1423	2632	2038	238
MB2bin115	1942	1540	3457	2186	282
MB2bin347	1413	1132	2051	1649	193
MB2bin120	1873	1494	2780	2121	256
MB2bin223	1555	1260	3332	1834	215
MB2bin161	2313	1872	5520	2546	322
MB2bin4	2146	1739	4097	2404	293
MB2bin226	1836	1454	2381	2080	235
MB2bin317	1777	1386	2920	2021	237
MB2bin202	1807	1421	2791	2029	231
MB2bin260	1514	1193	1955	1751	203
MB2bin175	1502	1156	1610	1765	204
MB2bin279	1597	1272	1730	1859	207
MB2bin87	1744	1394	2617	2029	211
MB2bin330	1699	1343	2016	1948	233
MB2bin22	1074	814	1344	1355	118
MB2bin155	1448	1164	2350	1721	189
MB2bin319	2220	1791	4348	2501	312
MB2bin201	1349	1054	1413	1608	176
MB2bin314	1233	993	1866	1469	162
MB2bin89	1473	1172	1948	1768	183
MB2bin281	1430	1139	2243	1667	193
MB2bin164	1584	1267	1679	1776	224
MB2bin253	1625	1279	2261	1887	223
MB2bin119	2009	1589	3955	2237	266
MB2bin266	1331	1060	2208	1577	183
MB2bin101	1810	1431	3087	2062	253
MB2bin137	2003	1595	2777	2220	283
MB2bin153	1525	1209	2201	1810	192
MB2bin147	1614	1260	2618	1831	214
MGS00185	1383	1123	2231	1611	184
MB2bin240	1783	1420	3115	2005	262
MB2bin277	1764	1398	2924	1995	254
MB2bin211	1403	1118	2068	1702	177
MB2bin30	1711	1366	2541	2000	229
MB2bin75	1455	1152	2470	1764	192
MB2bin259	1592	1297	2456	1862	205
MB2bin90	1636	1300	2056	1857	211
MB2bin135	1552	1179	2468	1797	190
MB2bin95	1646	1285	2371	1920	228
MB2bin221	1563	1249	2379	1782	208
MB2bin63	1788	1435	2646	2002	257
MB2bin274	1546	1221	1576	1810	215
MB2bin92	1571	1267	2312	1775	221
MB2bin14	1634	1307	2193	1928	213
MB2bin133	1907	1524	2777	2156	247
MB2bin194	1528	1203	1724	1818	209
MB2bin110	1610	1324	2791	1888	222
MB2bin57	1759	1425	3249	2003	242
MB2bin102	1449	1160	2236	1686	195
MB2bin350	1575	1221	1917	1832	213
MB2bin2	1078	839	1595	1408	118
MB2bin196	1834	1465	2197	2063	231
MB2bin1	1732	1396	3420	1971	249
MB2bin6	1706	1322	2628	1931	230
MB2bin154	1176	883	1505	1392	165
MB2bin338	1597	1264	2298	1880	209
MB2bin183	1508	1201	1820	1743	199
MB2bin208	1580	1243	1967	1818	216
MB2bin265	1335	1042	1715	1602	170
MB2bin70	1080	839	1383	1359	141
MB2bin243	1572	1220	2019	1786	215
MB2bin38	1562	1238	2288	1818	215
MB2bin303	1608	1262	1968	1851	215
MB2bin166	1340	1026	1561	1613	172
MB2bin3	2203	1819	4831	2424	313
MB2bin127	1492	1148	1854	1740	203
MB2bin138	1494	1181	1702	1746	191
MB2bin341	1674	1380	2469	1983	215
MB2bin23	1810	1456	3090	2062	226
MB2bin86	1694	1357	2455	1966	214
MB2bin26	1251	994	1752	1493	144
MB2bin246	1451	1157	3342	1668	189
MB2bin212	1492	1174	1834	1736	204
MB2bin168	1427	1078	2076	1705	185
MB2bin289	1454	1183	2126	1712	196
MB2bin278	1704	1352	2881	1995	222
MB2bin354	1286	1000	1310	1536	152
MB2bin54	1662	1338	1807	1926	219
MB2bin100	1401	1108	2299	1593	196
MGS00186	701	544	935	953	70
MB2bin172	1695	1341	2531	1894	247
MB2bin309	1836	1481	2539	2115	251
MB2bin237	1696	1354	2324	1970	233
MB2bin76	2227	1812	4812	2427	316
MB2bin297	1582	1257	2341	1812	217
MB2bin225	1615	1310	2717	1878	194
MB2bin302	1573	1256	2270	1805	206
