compounds	producers_nb
M_ACETYL__45__P_c	100
M_NICOTINAMIDE_RIBOSE_c	597
M_CARBON__45__DIOXIDE_c	913
M_FAD_c	1
M_D__45__Ribofuranose_c	420
M_CPD__45__14808_c	94
M_Pi_c	913
M_3__45__HYDROXY__45__PROPIONATE_c	17
M_PROTON_c	913
M_PHOSPHORIBOSYL__45__AMP_c	344
M_L__45__BETA__45__ASPARTYL__45__P_c	12
M_SORBITOL_c	10
M_1__45__L__45__MYO__45__INOSITOL__45__1__45__P_c	168
M_FORMALDEHYDE_c	6
M_CPD__45__551_c	28
M_GUANOSINE_c	428
M_CPD__45__20826_c	241
M_CPD0__45__1905_c	27
M_P3I_c	369
M_CPD__45__18238_c	181
M_2__45__DEHYDRO__45__3__45__DEOXY__45__D__45__GLUCONATE_c	11
M_IMINOASPARTATE_c	6
M_CPD__45__12377_c	36
M_D__45__arabinopyranose_c	27
M_CPD__45__12334_c	53
M_CYTIDINE_c	2
M_4__45__CYTIDINE__45__5__45__DIPHOSPHO__45__2__45__C_c	2
M_3__45__P__45__HYDROXYPYRUVATE_c	469
M_CARBAMATE_c	237
M_CPD__45__11770_c	1
M_GDP__45__4__45__DEHYDRO__45__6__45__L__45__DEOXYGALACTOSE_c	195
M_CDP_c	2
M_P__45__HYDROXY__45__PHENYLPYRUVATE_c	3
M_D__45__SEDOHEPTULOSE__45__7__45__P_c	502
M_HCO3_c	263
M_CPD__45__14017_c	149
M_4__45__OH__45__4__45__ACETYL__45__2__45__OXOGLUTARATE_c	3
M_CPD__45__14133_c	526
M_SULFATE_c	913
M_XANTHINE_c	503
M_CA__43__2_c	913
M_DEOXYGUANOSINE_c	105
M_CHORISMATE_c	390
M_OH__45__PYR_c	152
M_ISOCHORISMATE_c	242
M_IMP_c	435
M_CA__43__2_e	434
M_3OH__45__4P__45__OH__45__ALPHA__45__KETOBUTYRATE_c	507
M_PHOSPHO__45__ENOL__45__PYRUVATE_c	610
M_2__45__DH__45__3__45__DO__45__D__45__ARABINONATE_c	22
M_CPD__45__10353_c	29
M_QUINOLINATE_c	6
M_CPD__45__16572_c	5
M_CPD__45__316_c	1
M_CPD__45__62_c	2
M_HYDROGEN__45__PEROXIDE_c	41
M_CO__43__2_c	913
M_URATE_c	502
M_CPD__45__1828_c	5
M_PRPP_c	489
M_L__45__GLYCERALDEHYDE__45__3__45__PHOSPHATE_c	62
M_HYPOXANTHINE_c	594
M_CPD__45__13469_c	518
M_AMINO__45__OH__45__HYDROXYMETHYL__45__DIHYDROPTERIDINE_c	165
M_CPD__45__21427_c	338
M_BETA__45__D__45__FRUCTOSE_c	276
M_CARBAMOYL__45__P_c	237
M_INOSINE_c	594
M_CPD__45__17510_c	1
M_AMMONIA_c	913
M_CPD__45__12079_c	23
M_NITRITE_c	39
M_SUPER__45__OXIDE_c	23
M_CPD__45__19881_c	51
M_XYLULOSE__45__5__45__PHOSPHATE_c	569
M_CPD__45__9466_c	28
M_CPD__45__235_c	32
M_CPD__45__5921_c	29
M_MANNITOL_c	9
M_D__45__ERYTHRO__45__IMIDAZOLE__45__GLYCEROL__45__P_c	344
M_CPD0__45__2472_c	706
M_TREHALOSE__45__6P_c	282
M_DEOXYADENOSINE_c	2
M_XANTHOSINE__45__5__45__PHOSPHATE_c	435
M_CPD__45__13357_c	318
M_GUANOSINE__45__5DP__45__3DP_c	416
M_IDP_c	90
M_CPD__45__15225_c	740
M_HYDROGEN__45__MOLECULE_c	295
M_GDP__45__MANNOSE_c	261
M_2__45__3__45__DIHYDROXYBENZOATE_c	3
M_NIACINE_c	396
M_CPD0__45__1699_c	362
M_NADPH_c	526
M_L__45__XYLULOSE__45__5__45__P_c	2
M_MANNOSE_c	1
M_ERYTHRONATE__45__4P_c	507
M_PREPHENATE_c	370
M_DEOXY__45__D__45__RIBOSE__45__1__45__PHOSPHATE_c	105
M_ALTROSE_c	2
M_B__45__ALANINE_c	3
M_CPD__45__187_c	8
M_ADENINE_c	581
M_DIHYDROXY__45__BUTANONE__45__P_c	3
M_AMP_c	907
M_DADP_c	11
M_CPD0__45__1108_c	420
M_G3P_c	612
M_DIHYDROMONAPTERIN__45__TRIPHOSPHATE_c	1
M_D__45__RIBULOSE_c	69
M_P__45__RIBOSYL__45__4__45__SUCCCARB__45__AMINOIMIDAZOLE_c	26
M_CPD__45__18085_c	526
M_OH_c	36
M_4__45__HYDROXY__45__2__45__KETOVALERATE_c	29
M_GDP_c	430
M_SHIKIMATE_c	390
M_2__45__PG_c	612
M_CU__43__2_c	913
M_CPD__45__372_c	95
M_IMIDAZOLE__45__ACETOL__45__P_c	344
M_DIMETHYL__45__D__45__RIBITYL__45__LUMAZINE_c	1
M_CPD0__45__2101_c	1
M_GMP_c	430
M_FUM_c	38
M_D__45__glucopyranose__45__6__45__phosphate_c	623
M_CPD__45__15127_c	69
M_CPD__45__302_c	2
M_GALACTITOL__45__1__45__PHOSPHATE_c	12
M_OXYGEN__45__MOLECULE_c	55
M_CL__45___c	913
M_CAMP_c	29
M_GTP_c	430
M_2C__45__METH__45__D__45__ERYTHRITOL__45__CYCLODIPHOSPHATE_c	2
M_L__45__ASPARTATE_c	12
M_CPD__45__16467_c	35
M_WATER_c	913
M_CPD__45__645_c	69
M_6__45__HYDROXY__45__NICOTINATE_c	43
M_CPD__45__15382_c	147
M_7__45__CYANO__45__7__45__DEAZAGUANINE_c	362
M_CPD__45__14443_c	11
M_NITRATE_c	913
M_ADP_c	913
M_TAGATOSE__45__6__45__PHOSPHATE_c	36
M_KDO_c	119
M_DUMP_c	1
M_6__45__LACTOYL__45__5678__45__TETRAHYDROPTERIN_c	6
M_CO3_c	263
M_CPD__45__375_c	9
M_SHIKIMATE__45__5P_c	390
