species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
specI_v3_Cluster3694	1322	1082	2394	1588	178
specI_v3_Cluster77	2940	2430	4440	3045	420
specI_v3_Cluster3638	1307	1061	1861	1561	178
specI_v3_Cluster8892	1958	1595	4307	2224	273
specI_v3_Cluster7617	998	765	1210	1283	100
specI_v3_Cluster2812	2257	1842	5604	2486	314
specI_v3_Cluster3693	1328	989	2109	1589	172
specI_v3_Cluster7657	1534	1197	2072	1723	222
specI_v3_Cluster7639	1122	864	1650	1398	119
specI_v3_Cluster2161	1840	1446	3414	2115	245
specI_v3_Cluster10237	1602	1253	2548	1829	215
specI_v3_Cluster6307	1265	1011	1844	1450	175
specI_v3_Cluster102	3058	2540	5138	3147	450
specI_v3_Cluster7583	704	552	1181	1006	78
specI_v3_Cluster2969	1938	1568	4895	2171	257
specI_v3_Cluster3116	1589	1273	1948	1858	205
specI_v3_Cluster7632	758	592	1206	1072	70
specI_v3_Cluster10414	1736	1365	2036	2005	225
specI_v3_Cluster283	1665	1329	2025	1904	222
specI_v3_Cluster296	1631	1322	1936	1880	215
specI_v3_Cluster5402	2153	1737	4273	2399	291
specI_v3_Cluster3343	2222	1784	7003	2558	298
specI_v3_Cluster307	1580	1270	1758	1854	198
specI_v3_Cluster3666	2101	1667	3354	2338	290
specI_v3_Cluster96	3119	2591	4767	3193	452
specI_v3_Cluster7606	746	606	1174	1016	78
specI_v3_Cluster1300	1858	1497	2277	2097	270
specI_v3_Cluster7086	1679	1314	2010	1959	214
specI_v3_Cluster8865	1788	1439	3392	2078	221
specI_v3_Cluster7637	892	668	1139	1163	112
specI_v3_Cluster3439	1773	1430	3684	2044	253
specI_v3_Cluster7664	1555	1206	1682	1834	210
specI_v3_Cluster1597	2181	1760	4670	2405	302
specI_v3_Cluster3626	1582	1269	1871	1829	225
specI_v3_Cluster710	1814	1464	2906	2056	249
specI_v3_Cluster86	3278	2736	5737	3336	492
specI_v3_Cluster1605	1742	1379	2042	1989	233
specI_v3_Cluster4329	1926	1550	2650	2088	280
specI_v3_Cluster3662	1885	1497	3694	2130	262
specI_v3_Cluster3804	1935	1587	3382	2174	271
specI_v3_Cluster1941	1766	1401	1883	1948	258
specI_v3_Cluster313	1763	1428	2219	2021	234
specI_v3_Cluster2699	1658	1291	2114	1915	233
specI_v3_Cluster2970	1811	1467	3072	2030	232
specI_v3_Cluster7641	1607	1276	2376	1851	204
specI_v3_Cluster3347	1430	1133	1936	1715	193
specI_v3_Cluster3615	1067	826	1434	1386	110
specI_v3_Cluster1349	1625	1317	2107	1863	217
specI_v3_Cluster5238	2024	1604	3734	2267	264
specI_v3_Cluster10427	1879	1495	3040	2122	265
specI_v3_Cluster7676	1513	1186	1846	1781	187
specI_v3_Cluster9386	1845	1455	3286	2112	227
specI_v3_Cluster8483	1669	1338	2552	1960	222
specI_v3_Cluster3970	1691	1365	2124	1933	227
specI_v3_Cluster11219	1595	1236	2379	1877	214
specI_v3_Cluster7643	696	555	1226	978	68
specI_v3_Cluster2233	1607	1242	2470	1848	223
