species	taxon_id
GCA_003459265	1965294
GCA_003468355	46506
GCA_003481985	1506
GCA_003478995	1980281
GCA_003481045	41978
GCA_003458265	821
GCA_003478415	1506
GCA_003472305	216816
GCA_003478825	1904860
GCA_003603435	1898203
GCA_003460375	562
GCA_003481395	1506
GCA_003479885	1955243
GCA_003466905	310297
GCA_003635495	1869337
GCA_003467405	39486
GCA_003481285	41978
GCA_003481105	1898203
GCA_003473785	41978
GCA_003468345	821
GCA_003469765	147207
GCA_003461605	1506
GCA_003468585	1318
GCA_003462955	817
GCA_003472615	1624
GCA_003462665	41978
GCA_003463205	29523
GCA_003434475	2053618
GCA_003465775	28026
GCA_003439405	562
GCA_003470725	820
GCA_003471445	1981025
GCA_003461205	41978
GCA_003458475	39486
GCA_003459895	1965294
GCA_003460195	1730
GCA_003460605	41978
GCA_003481325	1506
GCA_003475665	1965294
GCA_003468045	2137881
GCA_003434015	853
GCA_003472785	2042683
GCA_003469025	820
GCA_003434535	1869337
GCA_003468005	216816
GCA_003461025	41978
GCA_003478855	2049040
GCA_003438675	823
GCA_003435775	1955243
GCA_003468845	147207
GCA_003474145	821
GCA_003439505	817
GCA_003603275	29523
GCA_003474085	39486
GCA_003460565	1955243
GCA_003466965	40520
GCA_003434045	128827
GCA_003475055	216816
GCA_003466945	821
GCA_003635485	1869337
GCA_003477535	142586
GCA_003460925	41978
GCA_003464925	28026
GCA_003464005	29466
GCA_003437415	821
GCA_003470965	562
GCA_003479485	2137881
GCA_003458385	821
GCA_003471195	165179
GCA_003480315	1506
GCA_003438985	820
GCA_003471165	41978
GCA_003458855	2049034
GCA_003459715	821
GCA_003464465	28118
GCA_003477405	1898205
GCA_003461435	41978
GCA_003469715	823
GCA_003474645	371601
GCA_003458305	28116
GCA_003474715	818
GCA_003467335	1680
GCA_003479105	1955243
GCA_003463445	1965294
GCA_003468265	216816
GCA_003463455	28026
GCA_003479085	1506
GCA_003457705	821
GCA_003475685	544645
GCA_003438835	821
GCA_003459845	2137881
GCA_003469045	39486
GCA_003474205	1730
GCA_003438895	817
GCA_003436345	29523
GCA_003463115	47678
GCA_003434745	88431
GCA_003437775	1680
GCA_003508775	47678
GCA_003480675	2137881
GCA_003603945	2049024
GCA_003439775	2040332
GCA_003475645	1318
GCA_003473885	2040332
GCA_003471185	410072
GCA_003475135	821
GCA_003478845	41978
GCA_003475375	820
GCA_003478875	2049040
GCA_003433685	315405
GCA_003463705	154046
GCA_003474245	371601
GCA_003477715	2049021
GCA_003466465	357276
GCA_003437435	28026
GCA_003603395	29523
GCA_003474005	818
GCA_003465375	41978
GCA_003464115	1263
GCA_003466305	28116
GCA_003462385	41978
GCA_003464635	817
GCA_003635405	1869337
GCA_003472245	1680
GCA_003469895	1965294
GCA_003480945	2049021
GCA_003467565	821
GCA_003474925	31971
GCA_003481205	1955243
GCA_003604135	1898203
GCA_003460125	821
GCA_003462745	46506
GCA_003436505	216816
GCA_003438185	1343
GCA_003461365	1506
GCA_003475785	2137881
GCA_003435175	1653434
GCA_003603955	29523
GCA_003437345	1681
GCA_003438725	41978
GCA_003460315	410072
GCA_003462085	41978
GCA_003468635	1263
GCA_003458905	28116
GCA_003462265	2137881
GCA_003467395	216816
GCA_003461525	1506
GCA_003434715	2049044
GCA_003471345	216816
GCA_003602795	29523
GCA_003464145	823
GCA_003479625	41978
GCA_003434385	1898203
GCA_003479205	1869337
GCA_003473085	821
GCA_003474365	1965294
GCA_003471285	821
GCA_003478285	1506
GCA_003470545	28026
GCA_003480225	1506
GCA_003466545	216816
GCA_003473165	119858
GCA_003437565	1965294
GCA_003479725	1506
GCA_003602905	2049024
GCA_003461185	2049040
GCA_003465915	1965294
GCA_003462755	1613
GCA_003464505	544645
GCA_003469205	1965294
GCA_003604075	29523
GCA_003479935	1506
GCA_003472685	28026
GCA_003439565	137591
GCA_003468685	46506
GCA_003463285	216816
GCA_003479635	29523
GCA_003435295	1653434
GCA_003435695	2049022
GCA_003467965	1965294
GCA_003471925	817
GCA_003472155	1730
GCA_003465585	1730
GCA_003470485	1263
GCA_003437835	28026
GCA_003461945	41978
GCA_003604105	1971605
GCA_003439715	29523
GCA_003465085	1613
GCA_003477525	41978
GCA_003470855	1318
GCA_003433795	1849041
GCA_003480375	41978
GCA_003433855	116085
GCA_003481585	1506
GCA_003473325	41978
GCA_003469145	1680
GCA_003457665	246787
GCA_003438495	1965294
GCA_003459655	1965294
GCA_003471325	28026
GCA_003474885	166486
GCA_003469435	820
GCA_003460265	1730
GCA_003473565	1506
GCA_003435315	1653434
GCA_003470145	1624
GCA_003434415	1547
GCA_003467035	166486
GCA_003470085	28111
GCA_003471265	1263
GCA_003465325	1304
GCA_003464685	216816
GCA_003436235	39486
GCA_003466395	1681
GCA_003433675	197614
GCA_003475555	39486
GCA_003438885	165179
GCA_003481845	2049021
GCA_003603405	1306
GCA_003465835	541000
GCA_003460645	1971605
GCA_003465235	40520
GCA_003466135	573
GCA_003460465	41978
GCA_003470905	2049040
GCA_003474985	821
GCA_003462605	2049040
GCA_003470405	1730
GCA_003458235	29523
GCA_003481465	1506
GCA_003477465	1869337
GCA_003475445	310297
GCA_003467735	39486
GCA_003461165	41978
GCA_003603595	1306
GCA_003475045	821
GCA_003435385	214853
GCA_003480505	41978
GCA_003439455	39486
GCA_003469495	562
GCA_003464165	142586
GCA_003461775	41978
GCA_003439785	88431
GCA_003468545	821
GCA_003472365	1358
GCA_003468155	28116
GCA_003463235	100884
GCA_003459865	28026
GCA_003602825	29523
GCA_003437905	154046
GCA_003478605	41978
GCA_003478985	41978
GCA_003603765	142586
GCA_003474775	1730
GCA_003458365	46506
GCA_003602845	29523
GCA_003438585	1263
GCA_003481445	1506
GCA_003459465	246787
GCA_003458805	1680
GCA_003468105	39496
GCA_003462365	2049040
GCA_003467325	40520
GCA_003466075	216816
GCA_003474225	821
GCA_003463855	818
GCA_003603175	29523
GCA_003464865	41978
GCA_003480905	1955243
GCA_003438025	46506
GCA_003464355	1506
GCA_003478515	2049040
GCA_003471095	562
GCA_003479665	1955243
GCA_003479865	1955243
GCA_003437785	1681
GCA_003480435	1506
GCA_003438615	29523
GCA_003460805	2049040
GCA_003470495	820
GCA_003479065	41978
GCA_003464265	2042683
GCA_003481535	1898204
GCA_003480145	41978
GCA_003481385	1879010
GCA_003473545	1506
GCA_003463775	47678
GCA_003460625	41978
GCA_003472145	28116
GCA_003470845	39496
GCA_003479805	1965294
GCA_003470305	46506
GCA_003436485	437897
GCA_003434445	1869337
GCA_003470645	28116
GCA_003479895	41978
GCA_003635515	1869337
GCA_003463085	40520
GCA_003458765	301301
GCA_003460695	2137881
GCA_003473345	1680
GCA_003480845	1955243
GCA_003463765	1730
GCA_003467465	821
GCA_003463895	46506
GCA_003434465	42895
GCA_003458715	142586
GCA_003469235	823
GCA_003603145	2049024
GCA_003462125	41978
GCA_003461465	41978
GCA_003460105	626932
GCA_003463015	329854
GCA_003472805	1872103
GCA_003437035	1965294
GCA_003466165	40518
GCA_003481145	1898205
GCA_003434525	1898203
GCA_003468025	1735
GCA_003603495	29523
GCA_003465425	1681
GCA_003473585	2049021
GCA_003470885	360807
GCA_003471485	2137881
GCA_003467285	28111
GCA_003439865	28116
GCA_003464345	1735
GCA_003462325	41978
GCA_003475435	821
GCA_003475365	1263
GCA_003468225	1506
GCA_003477705	2040332
GCA_003460365	562
GCA_003434765	1628085
GCA_003459375	40520
GCA_003459805	102148
GCA_003474615	1730
GCA_003435625	2137881
GCA_003470375	437897
GCA_003462625	2049040
GCA_003461125	2049040
GCA_003467875	562
GCA_003462445	2137881
GCA_003469535	820
GCA_003468865	820
GCA_003603545	29523
GCA_003470705	47678
GCA_003464035	46506
GCA_003458515	1730
GCA_003467275	1730
GCA_003479305	1872444
GCA_003437455	216816
GCA_003481245	1955243
GCA_003479985	1506
GCA_003472925	28116
GCA_003460065	41978
GCA_003468435	39486
GCA_003472725	28026
GCA_003465525	853
GCA_003459125	1263
GCA_003469855	46506
GCA_003439485	562
GCA_003438705	821
GCA_003480465	1879010
GCA_003467925	1965294
GCA_003604145	142586
GCA_003481835	2049040
GCA_003479405	142586
GCA_003470745	821
GCA_003480975	128827
GCA_003603515	29523
GCA_003471465	817
GCA_003458215	817
GCA_003436395	1965294
GCA_003466485	1681
GCA_003461585	1506
GCA_003481505	1506
GCA_003434605	29523
GCA_003479545	2137881
GCA_003465625	46506
GCA_003475325	1965294
GCA_003470335	410072
GCA_003435675	1955243
GCA_003469885	573
GCA_003471625	1263
GCA_003478065	41978
GCA_003473495	41978
GCA_003462565	2049024
GCA_003466245	820
GCA_003435115	1898207
GCA_003475025	216816
GCA_003466845	39496
GCA_003602895	29523
GCA_003466105	28026
GCA_003460445	41978
GCA_003474415	2049021
GCA_003458705	142586
GCA_003469625	1328
GCA_003459015	1492
GCA_003459595	1730
GCA_003459155	310297
GCA_003467665	39486
GCA_003457815	818
GCA_003466925	28118
GCA_003466335	1680
GCA_003474175	46506
GCA_003475215	39486
GCA_003465065	28026
GCA_003435815	2040332
GCA_003481065	1506
GCA_003471585	1965294
GCA_003457795	360807
GCA_003459925	41978
GCA_003464475	823
GCA_003477845	1506
GCA_003477925	1506
GCA_003439225	820
GCA_003458325	40518
GCA_003480695	1955243
GCA_003435045	154046
GCA_003470425	856
GCA_003434125	853
GCA_003433845	128827
GCA_003468405	1730
GCA_003437005	820
GCA_003465715	28116
GCA_003480485	2049021
GCA_003462785	2042683
GCA_003434095	197614
GCA_003475515	166486
GCA_003479965	41978
GCA_003477985	41978
GCA_003475115	1965294
GCA_003439795	562
GCA_003465595	1965294
GCA_003475245	329854
GCA_003474905	216816
GCA_003436655	1681
GCA_003481595	1955243
GCA_003477805	2137881
GCA_003435685	29523
GCA_003470215	1730
GCA_003459185	1730
GCA_003439105	1328
GCA_003635445	1869337
GCA_003435155	1653434
GCA_003468205	2042683
GCA_003435865	41978
GCA_003437105	216816
GCA_003459525	46503
GCA_003466665	821
GCA_003465905	1604
GCA_003472195	817
GCA_003479265	1879010
GCA_003481565	1879010
GCA_003477765	142586
GCA_003474055	823
GCA_003464805	216816
GCA_003461305	41978
GCA_003470365	310297
GCA_003436315	28026
GCA_003475425	47678
GCA_003438715	1730
GCA_003458275	46506
GCA_003461385	41978
GCA_003458535	360807
GCA_003439045	817
GCA_003474705	40520
GCA_003474765	823
GCA_003603895	1898203
GCA_003437735	1680
GCA_003473955	817
GCA_003478645	2049021
GCA_003464745	1506
GCA_003470675	46503
GCA_003479155	1955243
GCA_003436895	1965294
GCA_003478525	41978
GCA_003604275	1898207
GCA_003461645	1872444
GCA_003436855	821
GCA_003478455	1506
