species	taxon_id
GCA_900319265	838
GCA_900315275	186802
GCA_900317245	31977
GCA_900318585	171552
GCA_900317235	838
GCA_900322095	838
GCA_900318675	171552
GCA_900321825	186802
GCA_900319555	171552
GCA_900316625	186803
GCA_900313975	186803
GCA_900316795	171549
GCA_900314615	2172
GCA_900319915	194
GCA_900319225	171552
GCA_900319105	171549
GCA_900314655	171552
GCA_900317775	171549
GCA_900315125	186802
GCA_900321645	186802
GCA_900319275	186802
GCA_900314025	838
GCA_900319245	186803
GCA_900316495	186802
GCA_900314405	128827
GCA_900319725	186802
GCA_900319905	838
GCA_900320105	186802
GCA_900315075	171552
GCA_900313195	2172
GCA_900319565	186802
GCA_900315785	186802
GCA_900317705	186802
GCA_900319125	186802
GCA_900314195	838
GCA_900321405	186803
GCA_900321635	137
GCA_900321215	1730
GCA_900320065	186802
GCA_900319635	186802
GCA_900317585	186803
GCA_900316025	186802
GCA_900317825	186803
GCA_900313235	171552
GCA_900317145	186803
GCA_900318315	171549
GCA_900316765	171552
GCA_900318715	186802
GCA_900313715	171552
GCA_900319975	171549
GCA_900314785	2
GCA_900313085	133925
GCA_900316545	2
GCA_900322015	838
GCA_900317285	171549
GCA_900319585	186803
GCA_900321775	171549
GCA_900317725	128827
GCA_900320855	256845
GCA_900315105	171552
GCA_900316265	171552
GCA_900319335	186802
GCA_900315265	186802
GCA_900320985	186802
GCA_900319965	128827
GCA_900313845	171552
GCA_900315795	423604
GCA_900322145	186802
GCA_900320475	186803
GCA_900319095	186802
GCA_900315985	186802
GCA_900315725	519427
GCA_900321615	186803
GCA_900315675	186802
GCA_900319955	186802
GCA_900321915	186802
GCA_900320335	186803
GCA_900314725	171549
GCA_900316455	186802
GCA_900318425	171552
GCA_900315535	186802
GCA_900316555	186802
GCA_900318305	171552
GCA_900317625	157
GCA_900316615	186802
GCA_900316355	171552
GCA_900319385	171552
GCA_900315235	186802
GCA_900317555	186803
GCA_900320575	186802
GCA_900316835	171552
GCA_900318945	171552
GCA_900317385	186802
GCA_900321145	186802
GCA_900318725	171549
GCA_900315195	186802
GCA_900321335	186802
GCA_900321575	256845
GCA_900313275	171549
GCA_900317185	519427
GCA_900314105	186803
GCA_900318105	186802
GCA_900314495	133925
GCA_900318485	186802
GCA_900318705	838
GCA_900313915	31977
GCA_900314395	171552
GCA_900318635	186802
GCA_900314945	838
GCA_900315755	1263
GCA_900319345	186802
GCA_900319045	186802
GCA_900316855	186803
GCA_900316305	171549
GCA_900316535	186802
GCA_900316205	186802
GCA_900314645	2
GCA_900318595	157
GCA_900318065	171552
GCA_900320615	186802
GCA_900317255	519427
GCA_900314845	186802
GCA_900317075	2172
GCA_900313625	186802
GCA_900314035	909929
GCA_900313645	2172
GCA_900319775	186802
GCA_900319305	838
GCA_900315515	519427
GCA_900313385	186802
GCA_900315765	838
GCA_900313105	2
GCA_900318085	171549
GCA_900321655	171549
GCA_900320515	2172
GCA_900315185	133925
GCA_900318935	2
GCA_900317735	186802
GCA_900320155	171552
GCA_900321005	171549
GCA_900315385	2
GCA_900313565	186803
GCA_900317395	186802
GCA_900319735	171552
GCA_900322195	171552
GCA_900316075	186803
GCA_900314955	171552
GCA_900315875	186802
GCA_900318095	1402
GCA_900317765	186802
GCA_900314535	133925
GCA_900318875	186803
GCA_900318985	186802
GCA_900319135	186802
GCA_900316655	186802
GCA_900320605	186802
GCA_900321275	186802
GCA_900321345	186803
GCA_900316785	838
GCA_900320995	186802
GCA_900319315	171552
GCA_900315445	186803
GCA_900321095	133925
