bacterium	scope_size
GCA_900322195	151
GCA_900317215	48
GCA_900321795	31
GCA_900319445	132
GCA_900319065	143
GCA_900319565	55
GCA_900318735	79
GCA_900319855	103
GCA_900315195	47
GCA_900322005	97
GCA_900314735	35
GCA_900317735	133
GCA_900314175	144
GCA_900316575	141
GCA_900314845	115
GCA_900314685	125
GCA_900318875	155
GCA_900318445	146
GCA_900314935	154
GCA_900318475	130
GCA_900316055	134
GCA_900313365	86
GCA_900319105	125
GCA_900313225	140
GCA_900314385	127
GCA_900318235	75
GCA_900321625	92
GCA_900321195	44
GCA_900317695	137
GCA_900321805	37
GCA_900313425	51
GCA_900314715	153
GCA_900317245	167
GCA_900320195	72
GCA_900313735	70
GCA_900319945	40
GCA_900319115	142
GCA_900315755	96
GCA_900319695	148
GCA_900320155	134
GCA_900318545	75
GCA_900313265	79
GCA_900318985	78
GCA_900314105	114
GCA_900318135	44
GCA_900321905	70
GCA_900315385	35
GCA_900314405	106
GCA_900319825	136
GCA_900314315	107
GCA_900318155	120
GCA_900317495	165
GCA_900317855	94
GCA_900316715	83
GCA_900313755	41
GCA_900320275	160
GCA_900321825	41
GCA_900315325	164
GCA_900322065	86
GCA_900319735	91
GCA_900316275	110
GCA_900315905	100
GCA_900320415	43
GCA_900315865	103
GCA_900314545	36
GCA_900321525	130
GCA_900316065	130
GCA_900318565	122
GCA_900313255	107
GCA_900317925	113
GCA_900321895	36
GCA_900313975	115
GCA_900318945	136
GCA_900316015	163
GCA_900319335	49
GCA_900316735	160
GCA_900319665	170
GCA_900319375	130
GCA_900318255	140
GCA_900315895	43
GCA_900318605	33
GCA_900318025	79
GCA_900320445	147
GCA_900316085	103
GCA_900313355	32
GCA_900316855	147
GCA_900320675	109
GCA_900313995	137
GCA_900320765	35
GCA_900316785	184
GCA_900319435	41
GCA_900315175	138
GCA_900321585	137
GCA_900320655	44
GCA_900315825	134
GCA_900314515	160
GCA_900316145	127
GCA_900321655	90
GCA_900320645	39
GCA_900318125	42
GCA_900318745	101
GCA_900313955	104
GCA_900315495	93
GCA_900314485	35
GCA_900316035	105
GCA_900316115	50
GCA_900320125	146
GCA_900319195	45
GCA_900318535	151
GCA_900318635	85
GCA_900318515	78
GCA_900315925	51
GCA_900317945	42
GCA_900317065	84
GCA_900318395	209
GCA_900321955	80
GCA_900315205	37
GCA_900314285	41
GCA_900320875	160
GCA_900320745	67
GCA_900316515	114
GCA_900321485	73
GCA_900315685	36
GCA_900316875	114
GCA_900314295	119
GCA_900317105	87
GCA_900318935	41
GCA_900321395	43
GCA_900316235	141
GCA_900316865	151
GCA_900315735	101
GCA_900318845	83
GCA_900317995	104
GCA_900314355	70
GCA_900317775	107
GCA_900316405	132
GCA_900319575	39
GCA_900317225	50
GCA_900321425	192
GCA_900313615	170
GCA_900316995	137
GCA_900320485	46
GCA_900321125	32
GCA_900320165	139
GCA_900320035	28
GCA_900316105	92
GCA_900319315	143
GCA_900319385	157
GCA_900317355	103
GCA_900317505	137
GCA_900318755	101
GCA_900315585	144
GCA_900313125	69
GCA_900316725	138
GCA_900313885	135
GCA_900315365	163
GCA_900318365	104
GCA_900313815	28
GCA_900316425	44
GCA_900321345	98
GCA_900316955	171
GCA_900319075	97
GCA_900316505	111
GCA_900317585	48
GCA_900314755	160
GCA_900315485	148
GCA_900321735	81
GCA_900314955	172
GCA_900316195	138
GCA_900318035	42
GCA_900314215	158
GCA_900318905	44
GCA_900313195	47
GCA_900319535	44
GCA_900316965	150
GCA_900315795	34
GCA_900314365	143
GCA_900319685	117
GCA_900320145	49
GCA_900322035	155
GCA_900321915	103
GCA_900314885	113
GCA_900314985	153
