genome	original	gbk_2pc100	gbk_5pc80	gbk_5pc100	gbk_10pc70	gbk_2pc100_degradation	gbk_5pc80_degradation	gbk_5pc100_degradation	gbk_10pc70_degradation
GCA_900319265	1947	1923	1841	1848	1763	1.2326656394453006	5.444273240883411	5.084745762711865	9.450436569080637
GCA_900315275	2068	2044	1921	1984	1788	1.160541586073501	7.108317214700194	4.061895551257253	13.539651837524177
GCA_900317245	2792	2742	2792	2680	2501	1.7908309455587392	0.0	4.011461318051576	10.422636103151863
GCA_900318585	2395	2316	2278	2300	2150	3.298538622129436	4.88517745302714	3.966597077244259	10.22964509394572
GCA_900317235	2265	2229	2167	2165	2265	1.5894039735099337	4.326710816777042	4.415011037527594	0.0
GCA_900322095	2788	2743	2700	2707	2788	1.6140602582496413	3.1563845050215207	2.9053084648493543	0.0
GCA_900318675	2943	2905	2745	2762	2666	1.291199456337071	6.727828746177369	6.150186884131839	9.412164458036019
GCA_900321825	2204	2164	2107	2086	2204	1.8148820326678767	4.4010889292196005	5.353901996370237	0.0
GCA_900319555	2189	2159	2082	2085	2189	1.3704888076747372	4.88807674737323	4.751027866605756	0.0
GCA_900316625	1721	1706	1721	1689	1721	0.8715862870424171	0.0	1.8593840790238232	0.0
GCA_900313975	2472	2437	2429	2398	2218	1.4158576051779936	1.7394822006472492	2.9935275080906147	10.275080906148867
GCA_900316795	2070	2071	2070	2069	1980	-0.04830917874396135	0.0	0.04830917874396135	4.3478260869565215
GCA_900314615	2317	2313	2120	2248	2072	0.17263703064307295	8.502373759171341	2.977988778593008	10.574018126888216
GCA_900319915	1376	1354	1376	1311	1376	1.5988372093023258	0.0	4.723837209302325	0.0
GCA_900319225	2062	2061	1882	1924	1885	0.04849660523763337	8.729388942774007	6.692531522793405	8.583899127061105
GCA_900319105	1959	1947	1574	1809	1616	0.6125574272588056	19.652884124553342	7.656967840735068	17.508933129147525
GCA_900314655	2934	2927	2910	2637	2716	0.23858214042263123	0.81799591002045	10.122699386503067	7.430129516019086
GCA_900317775	2295	2251	2126	2194	2090	1.9172113289760349	7.363834422657953	4.400871459694989	8.932461873638346
GCA_900315125	2121	2044	2049	2057	2121	3.6303630363036308	3.3946251768033946	3.0174446016030174	0.0
GCA_900321645	1073	1059	1022	992	966	1.30475302889096	4.753028890959925	7.548928238583411	9.972041006523765
GCA_900319275	2747	2704	2578	2442	2447	1.5653440116490718	6.152165999271933	11.103021477975973	10.921004732435383
GCA_900314025	2397	2369	2290	2253	2130	1.1681268251981645	4.463913224864414	6.007509386733417	11.13892365456821
GCA_900319245	2602	2587	2525	2575	2264	0.5764796310530361	2.959262106072252	1.037663335895465	12.99000768639508
GCA_900316495	2542	2492	2413	2396	2285	1.9669551534225018	5.0747442958300555	5.743509047993705	10.110149488591661
GCA_900314405	1479	1468	1399	1406	1479	0.7437457741717377	5.409060175794456	4.935767410412441	0.0
GCA_900319725	1523	1490	1433	1462	1523	2.1667760998030205	5.909389363099146	4.005252790544977	0.0
GCA_900319905	2429	2392	2356	2274	2429	1.5232606010703995	3.0053519967064632	6.381226842321944	0.0
GCA_900320105	2535	2455	2433	2406	2535	3.155818540433925	4.023668639053255	5.088757396449704	0.0
GCA_900315075	3580	3446	3419	3488	3580	3.7430167597765367	4.4972067039106145	2.569832402234637	0.0
GCA_900313195	1603	1561	1477	1527	1453	2.6200873362445414	7.860262008733625	4.741110417966313	9.357454772301933
GCA_900319565	2208	2170	2105	2115	2002	1.7210144927536233	4.664855072463768	4.211956521739131	9.329710144927535
GCA_900315785	1578	1577	1425	1482	1407	0.06337135614702154	9.695817490494296	6.083650190114068	10.836501901140684
GCA_900317705	1895	1857	1827	1833	1895	2.0052770448548816	3.5883905013192616	3.271767810026385	0.0
GCA_900319125	1952	1907	1952	1864	1772	2.305327868852459	0.0	4.508196721311475	9.221311475409836
GCA_900314195	2348	2285	2348	2292	2102	2.6831345826235093	0.0	2.385008517887564	10.477001703577512
GCA_900321405	2629	2577	2506	2500	2629	1.9779383796120198	4.678585013313047	4.906808672499049	0.0
GCA_900321635	1733	1711	1733	1645	1733	1.269474899019042	0.0	5.077899596076168	0.0
GCA_900321215	1667	1632	1559	1578	1520	2.099580083983203	6.47870425914817	5.338932213557288	8.818236352729453
GCA_900320065	1271	1195	1202	1176	1176	5.979543666404406	5.428796223446105	7.474429583005507	7.474429583005507
GCA_900319635	1934	1890	1934	1817	1864	2.2750775594622543	0.0	6.049638055842813	3.6194415718717683
GCA_900317585	2404	2317	2285	2202	2239	3.618968386023295	4.950083194675541	8.402662229617304	6.863560732113144
GCA_900316025	1838	1804	1717	1750	1610	1.8498367791077257	6.583242655059848	4.787812840043525	12.404787812840043
GCA_900317825	1753	1728	1606	1658	1753	1.426126640045636	8.38562464346834	5.419281232173416	0.0
GCA_900313235	2285	2252	2182	2155	2034	1.4442013129102844	4.50765864332604	5.689277899343545	10.98468271334792
GCA_900317145	1945	1916	1798	1818	1945	1.4910025706940875	7.557840616966581	6.529562982005141	0.0
GCA_900318315	2244	2188	2118	2131	2050	2.4955436720142603	5.614973262032086	5.0356506238859176	8.645276292335117
GCA_900316765	2826	2714	2705	2563	2623	3.9631988676574665	4.281670205237084	9.306440198159944	7.183297947629158
GCA_900318715	1631	1605	1566	1510	1631	1.594114040465972	3.9852851011649295	7.4187614960147155	0.0
GCA_900313715	1874	1830	1746	1779	1686	2.3479188900747063	6.830309498399147	5.069370330843117	10.032017075773746
GCA_900319975	1894	1866	1826	1810	1578	1.478352692713833	3.5902851108764517	4.435058078141499	16.68426610348469
GCA_900314785	1272	1255	1272	1236	1272	1.3364779874213837	0.0	2.8301886792452833	0.0
GCA_900313085	2113	2069	1999	2012	1918	2.0823473734027447	5.395172740179839	4.7799337434926645	9.228584950307619
GCA_900316545	1731	1701	1641	1627	1548	1.733102253032929	5.1993067590987865	6.008087810514154	10.571923743500866
GCA_900322015	2361	2305	2242	2250	2361	2.3718763235916986	5.040237187632359	4.701397712833545	0.0
GCA_900317285	1793	1784	1779	1773	1641	0.501952035694367	0.7808142777467931	1.1154489682097044	8.477412158393753
GCA_900319585	1757	1729	1715	1703	1757	1.593625498007968	2.3904382470119523	3.073420603301081	0.0
GCA_900321775	1917	1894	1917	1820	1917	1.1997913406364111	0.0	5.0599895670318205	0.0
GCA_900317725	2347	2302	2347	2244	2130	1.9173412867490414	0.0	4.388581167447806	9.245845760545377
GCA_900320855	1930	1881	1791	1837	1747	2.5388601036269427	7.2020725388601035	4.818652849740933	9.481865284974093
