padmet_file	pathways	reactions	reactions_with_gene_association	genes	compounds
padmet/GCA_900314045.padmet	158	1304	955	654	1574
padmet/GCA_900313405.padmet	112	931	675	408	1204
padmet/GCA_900322105.padmet	111	973	716	443	1231
padmet/GCA_900319695.padmet	176	1296	907	641	1551
padmet/GCA_900319925.padmet	142	1144	839	518	1410
padmet/GCA_900316185.padmet	131	1076	795	479	1341
padmet/GCA_900318785.padmet	192	1385	988	635	1625
padmet/GCA_900314805.padmet	167	1301	979	612	1538
padmet/GCA_900319455.padmet	134	1068	775	526	1436
padmet/GCA_900316585.padmet	197	1454	1076	736	1775
padmet/GCA_900316425.padmet	77	884	668	497	1168
padmet/GCA_900314845.padmet	194	1458	1083	680	1749
padmet/GCA_900318595.padmet	115	1046	794	503	1338
padmet/GCA_900320655.padmet	128	1045	717	450	1314
padmet/GCA_900314415.padmet	131	1081	815	490	1346
padmet/GCA_900317485.padmet	133	1081	803	487	1338
padmet/GCA_900318895.padmet	176	1350	995	642	1646
padmet/GCA_900320555.padmet	160	1231	909	545	1458
padmet/GCA_900321085.padmet	111	951	686	417	1196
padmet/GCA_900316495.padmet	142	1120	820	575	1398
padmet/GCA_900319805.padmet	163	1273	941	611	1592
padmet/GCA_900317445.padmet	169	1269	954	632	1534
padmet/GCA_900313765.padmet	141	1216	858	555	1503
padmet/GCA_900320205.padmet	138	1051	822	572	1323
padmet/GCA_900315755.padmet	155	1264	976	589	1568
padmet/GCA_900321495.padmet	148	1125	823	520	1425
padmet/GCA_900319505.padmet	123	1026	737	480	1303
padmet/GCA_900314795.padmet	131	1075	792	551	1389
padmet/GCA_900317115.padmet	181	1403	1032	715	1702
padmet/GCA_900320515.padmet	71	755	610	439	984
padmet/GCA_900319075.padmet	152	1137	842	538	1388
padmet/GCA_900320955.padmet	77	936	715	477	1238
padmet/GCA_900319245.padmet	188	1302	1038	699	1565
padmet/GCA_900321845.padmet	95	900	663	372	1232
padmet/GCA_900314375.padmet	130	1010	758	441	1240
padmet/GCA_900318645.padmet	166	1326	984	603	1632
padmet/GCA_900314745.padmet	158	1233	957	570	1492
padmet/GCA_900319715.padmet	173	1342	981	668	1627
padmet/GCA_900320695.padmet	155	1240	923	614	1521
padmet/GCA_900321685.padmet	155	1284	920	535	1542
padmet/GCA_900318285.padmet	149	1192	875	528	1495
padmet/GCA_900314875.padmet	102	744	606	396	908
padmet/GCA_900321225.padmet	113	1023	758	494	1289
padmet/GCA_900315055.padmet	196	1449	1118	719	1711
padmet/GCA_900317405.padmet	165	1255	938	602	1549
padmet/GCA_900318215.padmet	197	1501	1116	687	1754
padmet/GCA_900317015.padmet	162	1278	973	621	1577
padmet/GCA_900314775.padmet	176	1438	1080	613	1733
padmet/GCA_900314085.padmet	155	1206	892	538	1479
padmet/GCA_900317755.padmet	166	1331	1008	572	1600
padmet/GCA_900315135.padmet	200	1440	1049	689	1697
padmet/GCA_900317825.padmet	157	1203	911	548	1458
padmet/GCA_900318705.padmet	175	1299	957	663	1523
padmet/GCA_900313935.padmet	148	1275	904	561	1540
padmet/GCA_900314545.padmet	77	784	645	484	1037
padmet/GCA_900313895.padmet	112	962	655	449	1224
padmet/GCA_900320305.padmet	135	1181	874	511	1478
padmet/GCA_900317955.padmet	143	1124	848	525	1423
padmet/GCA_900321445.padmet	140	1095	784	439	1356
padmet/GCA_900320975.padmet	123	1025	749	453	1292
padmet/GCA_900319595.padmet	119	977	697	427	1261
padmet/GCA_900321805.padmet	131	1096	804	496	1324
padmet/GCA_900316095.padmet	187	1412	1038	651	1669
padmet/GCA_900313955.padmet	167	1214	872	598	1458
padmet/GCA_900317475.padmet	151	1115	873	591	1330
padmet/GCA_900315485.padmet	165	1167	886	632	1378
padmet/GCA_900314245.padmet	165	1285	956	590	1568
padmet/GCA_900318335.padmet	164	1310	986	591	1611
padmet/GCA_900315555.padmet	171	1172	901	553	1414
padmet/GCA_900314315.padmet	150	1103	874	640	1400
padmet/GCA_900316875.padmet	133	1007	735	468	1249
padmet/GCA_900317585.padmet	167	1226	954	605	1478
padmet/GCA_900315085.padmet	136	1112	845	532	1360
padmet/GCA_900317675.padmet	152	1167	840	559	1468
padmet/GCA_900315935.padmet	128	1065	809	488	1366
padmet/GCA_900316135.padmet	198	1455	1076	786	1742
padmet/GCA_900318885.padmet	185	1420	1036	706	1705
padmet/GCA_900314915.padmet	164	1218	900	555	1470
padmet/GCA_900315945.padmet	146	1148	855	558	1438
padmet/GCA_900317935.padmet	145	1175	858	620	1457
padmet/GCA_900313495.padmet	128	944	734	505	1207
padmet/GCA_900316545.padmet	147	1163	870	534	1416
padmet/GCA_900317225.padmet	141	1133	857	565	1377
padmet/GCA_900316255.padmet	158	1276	911	620	1606
padmet/GCA_900315815.padmet	131	1140	826	547	1414
padmet/GCA_900317625.padmet	132	1105	835	488	1352
padmet/GCA_900320915.padmet	158	1201	837	501	1458
padmet/GCA_900315675.padmet	183	1392	1046	725	1689
padmet/GCA_900320335.padmet	176	1337	1028	643	1625
padmet/GCA_900322115.padmet	159	1178	843	618	1447
padmet/GCA_900315305.padmet	177	1330	1023	661	1582
padmet/GCA_900320215.padmet	158	1223	899	563	1476
padmet/GCA_900321115.padmet	156	1160	870	551	1431
padmet/GCA_900318035.padmet	74	892	689	465	1207
padmet/GCA_900315035.padmet	203	1430	1056	774	1713
padmet/GCA_900320995.padmet	125	988	690	521	1286
padmet/GCA_900317455.padmet	141	1164	894	531	1429
padmet/GCA_900313865.padmet	103	881	590	405	1153
padmet/GCA_900318375.padmet	182	1372	992	743	1633
